repo_key,sha,files,import_edges,density,indeg_mean,indeg_median,indeg_max,indeg_gini,outdeg_mean,outdeg_median,outdeg_max,outdeg_gini,hub_share_top5pct,n_loops,largest_loop,largest_loop_share,share_in_loops,depth_condensed,spl_mean,spl_max,n_wcc,largest_wcc_share,isolated,isolated_share,modularity,n_clusters,clustering,single_importer_share,nesting_max,nesting_mean,unresolved_share,loc_total,loc_mean,loc_median
dwavesystems/dimod,f67f48677202adffea7a5484e021e2599177b238,56,144,0.046753246753246755,2.5714285714285716,1.0,16,0.5756448412698413,2.5714285714285716,2.0,15,0.5210813492063492,0.2847222222222222,1,34,0.6071428571428571,0.6071428571428571,6,3.907501410039481,8,6,0.9107142857142857,5,0.08928571428571429,0.34734693877551015,11,0.3028482465554005,0.44642857142857145,3,1.9821428571428572,0.019230769230769232,12137,216.73214285714286,112.5
elastic/rally,6915655f2ebf11311db54ebd2014c942110e77e2,63,215,0.05504352278545827,3.4126984126984126,2.0,27,0.6290143964562569,3.4126984126984126,2.0,22,0.6502768549280177,0.3627906976744186,0,0,0.0,0.0,11,2.0722689075630254,6,9,0.873015873015873,8,0.12698412698412698,0.23222282314764742,13,0.24082410669343687,0.2857142857142857,3,1.6507936507936507,0.0,26336,418.031746031746,129.0
ethereum/web3.py,0b6239f89c934d3c81d18d2c39747f1fd21cab88,170,637,0.022171945701357467,3.7470588235294118,1.0,75,0.7108043217286915,3.7470588235294118,2.5,28,0.5868408902022347,0.43328100470957615,1,97,0.5705882352941176,0.5705882352941176,5,3.5187838268067493,9,39,0.7764705882352941,38,0.2235294117647059,0.35286339690619073,45,0.29074451588927347,0.3,4,2.3411764705882354,0.0,39525,232.5,104.5
facelessuser/pymdown-extensions,fbf4bf22da3bc864f24b4ee6a2c05b145fb6c304,52,39,0.014705882352941176,0.75,0.0,15,0.9215976331360947,0.75,0.0,4,0.6296844181459567,0.8461538461538461,1,2,0.038461538461538464,0.038461538461538464,2,1.3157894736842106,2,22,0.5769230769230769,20,0.38461538461538464,0.5470914127423823,25,0.16091686091686092,0.11538461538461539,2,1.1153846153846154,0.0,53836,1035.3076923076924,189.5
falconry/falcon,c8e7d1dd5af65939d30d88a0fbc6aa2f2c920935,149,322,0.01460185017231997,2.161073825503356,1.0,34,0.7783984326149486,2.161073825503356,1.0,22,0.7031556129892867,0.453416149068323,1,42,0.28187919463087246,0.28187919463087246,9,3.1042590949423245,8,47,0.6912751677852349,46,0.3087248322147651,0.3532090551340825,52,0.19124678496106265,0.2080536912751678,5,2.161073825503356,0.00258732212160414,28498,191.26174496644296,45.0
fatal1ty/mashumaro,c076075516af07c0bb552b1a388019380f8d76ae,76,151,0.026491228070175437,1.986842105263158,0.0,22,0.7489543394911119,1.986842105263158,2.0,11,0.5593412338794005,0.3841059602649007,1,4,0.05263157894736842,0.05263157894736842,13,2.533707865168539,7,19,0.7631578947368421,18,0.23684210526315788,0.5014444444444445,22,0.4462476120370857,0.14473684210526316,4,2.460526315789474,0.0,9370,123.28947368421052,36.0
fitbenchmarking/fitbenchmarking,82716374bf37f0fe0e6f6a5fc5cc14fa7d036976,121,194,0.013360881542699725,1.603305785123967,0.0,46,0.8509840674789129,1.603305785123967,1.0,13,0.5511629888387152,0.5773195876288659,0,0,0.0,0.0,9,2.152212389380531,5,29,0.768595041322314,28,0.23140495867768596,0.46630885322563503,36,0.2637245787443416,0.1652892561983471,4,2.1487603305785123,0.0,20065,165.82644628099175,102.0
fonttools/fonttools,7b50bde2ee3ac6c9e1936ea8c5351ffd84e4606c,350,295,0.002415063446582071,0.8428571428571429,0.0,50,0.7573559322033898,0.8428571428571429,0.0,85,0.8206004842615012,0.4915254237288136,2,5,0.014285714285714285,0.022857142857142857,6,1.6319444444444444,4,190,0.34,177,0.5057142857142857,0.6012901307966707,196,0.07899532022883317,0.34285714285714286,4,3.2142857142857144,0.0,128739,367.8257142857143,130.0
frictionlessdata/frictionless-py,33bfb1d99595667202aaa6fa01e54f4865e4c2fa,249,791,0.012809301723021117,3.176706827309237,2.0,54,0.6233175432450409,3.176706827309237,2.0,38,0.47762224625429656,0.47661188369152974,10,4,0.01606425702811245,0.10441767068273092,31,3.420228266148616,9,2,0.9959839357429718,1,0.004016064257028112,0.5185033351056517,10,0.20912931680546723,0.37349397590361444,4,2.5180722891566263,0.0,20962,84.18473895582329,41.0
genericmappingtools/pygmt,1067fa316b214d470f26f4affba743a4835a53c8,163,397,0.015034461864727714,2.4355828220858897,0.0,87,0.8411243837987359,2.4355828220858897,1.0,54,0.500038633308093,0.7052896725440806,0,0,0.0,0.0,11,2.4383125864453667,5,2,0.9938650306748467,1,0.006134969325153374,0.32969881161608794,6,0.14641286339973378,0.07975460122699386,3,2.4662576687116564,0.0,20053,123.02453987730061,80.0
