source,method,family_committed,n_pr_committed,auc_committed,ci_lo_committed,ci_hi_committed,rank_committed,family_rebuilt,n_pr_rebuilt,auc_rebuilt,ci_lo_rebuilt,ci_hi_rebuilt,rank_rebuilt
co_edited,pagerank,global,708,0.2711340584177801,0.2398582886426032,0.3014519868978574,21.0,global,708,0.2711340584177801,0.2398582886426032,0.3014519868978574,21.0
co_edited,indegree,global,708,0.2706114034989388,0.2400365738996403,0.3010505624730348,22.0,global,708,0.2706114034989388,0.2400365738996403,0.3010505624730348,22.0
co_edited,random,reference,708,0.2482625577302484,0.2196210698653565,0.277265045215763,23.0,reference,708,0.2482625577302484,0.2196210698653565,0.277265045215763,23.0
co_edited,bm25_issue_rd,redacted,708,0.4039781325665859,0.375645089503457,0.4319449415961973,,redacted,708,0.4039781325665859,0.375645089503457,0.4319449415961973,
co_edited,bm25_issue_rdp,redacted,708,0.4018767235001345,0.3735212738076108,0.4298467829059142,,redacted,708,0.4018767235001345,0.3735212738076108,0.4298467829059142,
co_edited,bm25_issue_rds,redacted,708,0.3942521270513855,0.3658769526611457,0.4223852804475925,,redacted,708,0.3942521270513855,0.3658769526611457,0.4223852804475925,
co_edited,path_issue_rd,redacted,708,0.3917971669207544,0.3619479980948869,0.4220492732087904,,redacted,708,0.3917971669207544,0.3619479980948869,0.4220492732087904,
co_edited,path_issue_rdp,redacted,708,0.365426050167399,0.3336249443725346,0.3960418311167292,,redacted,708,0.365426050167399,0.3336249443725346,0.3960418311167292,
co_edited,path_issue_rds,redacted,708,0.359493099460437,0.328188463676236,0.3907098714315013,,redacted,708,0.359493099460437,0.328188463676236,0.3907098714315013,
co_edited,rrf_hops_path_rd,redacted,708,0.4297904662885241,0.3975674883570058,0.4623876647773288,,redacted,708,0.4297904662885241,0.3975674883570058,0.4623876647773288,
co_edited,rrf_hops_path_rdp,redacted,708,0.4125165810988551,0.3790415845858341,0.4465411849635867,,redacted,708,0.4125165810988551,0.3790415845858341,0.4465411849635867,
co_edited,rrf_hops_path_rds,redacted,708,0.4099499437643858,0.3773383614240089,0.4433045310779336,,redacted,708,0.4099499437643858,0.3773383614240089,0.4433045310779336,
co_edited,rrf_hops_pathseed,fusion-control,708,0.401789077212806,0.3682790283745448,0.4343810813913635,,fusion-control,708,0.401789077212806,0.3682790283745448,0.4343810813913635,
co_edited,rrf_pprpl_issue_path_k10,rrf-k,708,0.4863995988775296,0.456352859670201,0.5162939479411857,,rrf-k,708,0.4863995988775296,0.456352859670201,0.5162939479411857,
co_edited,rrf_pprpl_issue_path_k200,rrf-k,708,0.4796667853032612,0.4485791937122903,0.5104490602458015,,rrf-k,708,0.4796667853032612,0.4485791937122903,0.5104490602458015,
co_edited,rrf_pprpl_issue_path_rd,redacted,708,0.4622897002884644,0.4302979653302854,0.4942698895623367,,redacted,708,0.4622897002884644,0.4302979653302854,0.4942698895623367,
co_edited,rrf_pprpl_issue_path_rdp,redacted,708,0.4444697364586136,0.4125371443965508,0.4768665957521469,,redacted,708,0.4444697364586136,0.4125371443965508,0.4768665957521469,
co_edited,rrf_pprpl_issue_path_rds,redacted,708,0.4384912461139508,0.4069843861348434,0.470517699159595,,redacted,708,0.4384912461139508,0.4069843861348434,0.470517699159595,
co_edited,rrf_pprpl_seedpath,fusion-control,708,0.4177814069365976,0.3847171570711015,0.4501640395764232,,fusion-control,708,0.4177814069365976,0.3847171570711015,0.4501640395764232,
symbol,oracle,reference,1156,0.7930416975089866,0.7715268100761908,0.8131448292038649,1.0,reference,1153,0.7924767265058806,0.7710790663127822,0.8127353603681219,1.0
symbol,ppr_out_pl,structure,1156,0.4906277821205256,0.4634891910804214,0.5172992206115956,2.0,structure,1153,0.489189206683929,0.4609033979882745,0.516283580703723,2.0
symbol,ppr_und_pl,structure,1156,0.4893289988061661,0.4601265165227381,0.5174073748503332,3.0,structure,1153,0.4869022057213405,0.4571920804419697,0.5155934990614593,3.0
symbol,hops_lines,structure,1156,0.4767419745497157,0.4470904839639413,0.5050134596531638,4.0,structure,1153,0.4748139185109811,0.4453784434777528,0.5034788688480192,4.0
symbol,rrf_hops_path,fusion,1156,0.4759054749519898,0.448768488173313,0.5017913329595471,5.0,fusion,1153,0.4744103084116742,0.4471611367371629,0.5004444753394957,5.0
symbol,rrf_pprpl_issue_path,fusion,1156,0.4735001710207931,0.4452936148547065,0.501113537476068,6.0,fusion,1153,0.4735726160590128,0.4454326088371397,0.500918511786141,6.0
symbol,ppr_out,structure,1156,0.4581389022152597,0.4299594090578345,0.4873747035609305,7.0,structure,1153,0.457217980232896,0.4287119386751369,0.4863527674364818,7.0
symbol,rrf_hops_issue_path,fusion,1156,0.4565513968956745,0.4286239080077705,0.4831578303862441,8.0,fusion,1153,0.45667365844508,0.4283537705468057,0.4834846791255564,8.0
symbol,ppr_und,structure,1156,0.4456833256857497,0.4171125706091292,0.4746426251614236,9.0,structure,1153,0.4446107235902401,0.4166364227068219,0.4735742317928835,9.0
symbol,bfs_und,structure,1156,0.4201151254017151,0.3913964022161936,0.4473938577700302,10.0,structure,1153,0.4190563121441447,0.3900439026559669,0.4467527126791382,11.0
symbol,rrf_ppr_issue_path,fusion,1156,0.4200118632448838,0.3916281408013859,0.4478477091277093,11.0,fusion,1153,0.4202761675452531,0.3917010602966229,0.448533896302586,10.0
symbol,pagerank,global,1156,0.4098289631849859,0.3809739908639217,0.4385443921021094,12.0,global,1153,0.4091901532662512,0.3799178705583717,0.4383124535484056,12.0
symbol,indegree,global,1156,0.3980633035230502,0.370799195489941,0.4248414342172112,13.0,global,1153,0.3973325575446672,0.3703451390398777,0.4241976617402125,13.0
symbol,rrf_ppr_issue,fusion,1156,0.3904138190033678,0.3606791768679815,0.4207999559152502,14.0,fusion,1153,0.3915620512334136,0.3615995455914276,0.4207730230894818,14.0
symbol,path_issue,lexical,1156,0.3823826355209924,0.3520403008683382,0.4122733535788207,15.0,lexical,1153,0.3818916820597556,0.3512256314670725,0.4119536199818988,15.0
symbol,path_seed,lexical,1156,0.3648500439628216,0.335838517784548,0.392351234725508,16.0,lexical,1153,0.3651934642667117,0.3357778802689509,0.3924322835871877,16.0
symbol,bm25_issue_pl,lexical,1156,0.3552965126677088,0.3236515713817089,0.3861252905308552,17.0,lexical,1153,0.3548748815757125,0.3229999811421691,0.3863847729885026,17.0
symbol,bm25_issue,lexical,1156,0.3404272250723622,0.3113061396504195,0.3682011773999762,18.0,lexical,1153,0.3426540120602984,0.3138135950187287,0.3703151880167866,18.0
symbol,bm25_seed,lexical,1156,0.3360277561558794,0.3046677420314684,0.3647616537843193,19.0,lexical,1153,0.3373102327975746,0.3065284752987131,0.3661486531558323,19.0
symbol,same_dir,reference,1156,0.3197893621182504,0.289948147094957,0.3485570692974756,20.0,reference,1153,0.3196009958581782,0.2894435159411277,0.3490796949621818,20.0
symbol,ppr_in_pl,structure,1156,0.2767281015696018,0.2481624283565231,0.3030135620352633,21.0,structure,1153,0.2767680531958404,0.2486242101121709,0.303384085761528,21.0
symbol,ppr_in,structure,1156,0.2689117258506818,0.2415074723808569,0.2954137546644518,22.0,structure,1153,0.2695183586864361,0.242448227760838,0.2954906214913083,22.0
symbol,random,reference,1156,0.248476686814384,0.219762886415602,0.2761541202100943,23.0,reference,1153,0.2484356057069449,0.219758998549242,0.2765561039309558,23.0
symbol,bm25_issue_rd,redacted,1156,0.3387512916337568,0.3097994484222615,0.3668138354581741,,redacted,1153,0.3409762132130296,0.3122082078667975,0.3685870445421719,
symbol,bm25_issue_rdp,redacted,1156,0.3372259280253752,0.3080618763017699,0.3651168607653489,,redacted,1153,0.3394963261798306,0.3106271896461446,0.3667558118970014,
symbol,bm25_issue_rds,redacted,1156,0.3323576844240207,0.3037179084906051,0.3600260525719334,,redacted,1153,0.3343768645958407,0.3056304796040706,0.361925914951548,
symbol,path_issue_rd,redacted,1156,0.3511626966691861,0.3211159335360635,0.3810860685352804,,redacted,1153,0.3503639850809337,0.3202333837297982,0.380474108382547,
symbol,path_issue_rdp,redacted,1156,0.325990247121592,0.2944863596751161,0.3564522776559965,,redacted,1153,0.3257677049152767,0.2945268350072736,0.3568065788509181,
symbol,path_issue_rds,redacted,1156,0.3225278487532541,0.2910662536583378,0.3528588113242688,,redacted,1153,0.3220365119465474,0.2909489948971748,0.3523256788774128,
symbol,rrf_hops_path_rd,redacted,1156,0.4558274371891557,0.4294821363557518,0.4821800498379977,,redacted,1153,0.4542744048298742,0.4279025699522666,0.4807920764901645,
symbol,rrf_hops_path_rdp,redacted,1156,0.4371468314015732,0.4103204027982662,0.4639893948501553,,redacted,1153,0.4361241606431427,0.4096411653811948,0.4630441726124966,
symbol,rrf_hops_path_rds,redacted,1156,0.4347915739503974,0.4076362272399155,0.4618507617804022,,redacted,1153,0.43342817969649,0.4062802790434936,0.4605775793863652,
symbol,rrf_hops_pathseed,fusion-control,1156,0.4495012024314647,0.4212476613742889,0.4749961645521812,,fusion-control,1153,0.4487904021141221,0.4206999864882223,0.4745649916115602,
symbol,rrf_pprpl_issue_path_k10,rrf-k,1156,0.4635917110867839,0.4347179143624081,0.4922303977402884,,rrf-k,1153,0.4643112159984455,0.4351556816916703,0.4925653468804934,
symbol,rrf_pprpl_issue_path_k200,rrf-k,1156,0.4718698110242369,0.4442390664028255,0.4981817046015126,,rrf-k,1153,0.4716166529624319,0.4437444271652123,0.4976127636689409,
symbol,rrf_pprpl_issue_path_rd,redacted,1156,0.4529037305235874,0.4252213586873606,0.4805840548257318,,redacted,1153,0.452642422712657,0.4244609359392237,0.4801895288503113,
symbol,rrf_pprpl_issue_path_rdp,redacted,1156,0.4353450622653723,0.4069432013453805,0.463141008082871,,redacted,1153,0.4355896396500983,0.407452121522645,0.4633841700279237,
symbol,rrf_pprpl_issue_path_rds,redacted,1156,0.4310048885923272,0.4027551404295593,0.4586318144734325,,redacted,1153,0.4310143591862931,0.4028402144047515,0.4584582998620015,
symbol,rrf_pprpl_seedpath,fusion-control,1156,0.4362910131650181,0.4074308192587972,0.4637539643778717,,fusion-control,1153,0.4368685703053309,0.4081604967911444,0.4644112404822798,
