method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
cochange,False,1180,112,0.32930257892310677,0.3015703502586309,0.3572036608847879,0.30000000000000004,0.08376203238600506,0.5924903045101982,1.6646084106682225e-37,1.997530092801867e-36
khop1_und,False,1180,112,0.3265653298702398,0.3026783858381294,0.3499518735857555,0.3,0.08102478333313808,0.5777966101694915,1.1286822565924372e-26,1.1286822565924372e-25
repograph_k2,False,1180,112,0.3257231619177393,0.2975579585901911,0.35262278053105783,0.309375,0.08018261538063759,0.6163110456765297,4.6145843561036836e-73,9.229168712207368e-72
betweenness,False,1180,112,0.3156555044879789,0.2900390531240731,0.3412204079244375,0.3,0.07011495795087723,0.6041421286986498,3.03824821932953e-40,3.949722685128389e-39
cosil_bfs,False,1180,112,0.31499414830688577,0.2880164746483489,0.34113917193881566,0.3,0.0694536017697841,0.5935219764435506,3.7571779229292515e-47,5.260049092100952e-46
topo_fwd,False,1180,112,0.29790542913121965,0.273454246529777,0.32469535504146846,0.2651041666666667,0.05236488259411797,0.5491880925021545,2.4808311415816216e-12,1.488498684948973e-11
repograph_k1,False,1180,112,0.29705339744926307,0.2718714289248514,0.3209804803763696,0.2708333333333333,0.0515128509121614,0.5661149813272048,5.875272502490287e-30,6.462799752739316e-29
closure_fwd,False,1180,112,0.28187397144163,0.25605177549953345,0.3068070951905869,0.2505952380952381,0.036333424904528344,0.5375140045963803,2.488556690318747e-12,1.488498684948973e-11
closure_comb,False,1180,112,0.27673716265268067,0.25003964579190785,0.3030697673961331,0.25610119047619045,0.031196616115578994,0.5355881930479747,4.3715830138036535e-18,3.497266411042923e-17
khop2_und,False,1180,112,0.2700324050533451,0.24315453925585492,0.2959811616511727,0.25,0.02449185851624339,0.5340304510198219,5.3094500689478274e-21,4.7785050620530444e-20
whole_repo,True,1180,112,0.2635872113964128,0.23445200993259227,0.2931594099171585,0.25,0.018046664859311067,0.513924518816432,0.12209419767394245,0.1252618231554125
labelprop,False,1180,112,0.25571085831987417,0.23082812341198877,0.28068527283880945,0.225,0.010170311782772473,0.49552678827923013,0.002956592634441451,0.011826370537765803
dfs_und,False,1180,112,0.24693678123685256,0.22068096992964495,0.2727530725416073,0.21708333333333335,0.001396234699750893,0.49003555012927325,0.06263091157770626,0.1252618231554125
random,True,1180,112,0.2455405465371017,0.2180106608302553,0.2747669593203192,0.23472222222222222,0.0,0.5,1.0,
louvain,False,1180,112,0.22609898825358746,0.20516623847044646,0.24693575063000697,0.15,-0.019441558283514248,0.41826235277219187,0.003422653415628825,0.011826370537765803
same_dir,True,1180,112,0.19768342209180373,0.17661624309541635,0.21815614028843194,0.10833333333333332,-0.04785712444529796,0.361451809824763,1.458924401387775e-16,1.0212470809714425e-15
bfs_rev,False,1180,112,0.15438571263725637,0.13479837517764107,0.17428639232598542,0.11249999999999999,-0.09115483389984533,0.3153827923010629,1.062913343983135e-49,1.5943700159747025e-48
closure_rev,False,1180,112,0.12600148660921365,0.10709539182987927,0.14408652668733213,0.08499999999999999,-0.11953905992788805,0.2686268313702959,3.345583463398491e-97,7.360283619476681e-96
seed_alone,True,1180,112,0.0,0.0,0.0,0.0,-0.2455405465371017,0.010169491525423728,1.1955316528015306e-190,3.945254454245051e-189
