method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
khop1_und,False,708,112,0.24911683929692405,0.22087414623526275,0.27665002541786876,0.18291666666666667,0.0027099167115056944,0.44131934469660694,0.8759158348990327,0.8759158348990327
random,True,708,112,0.24640692258541833,0.2176598261096519,0.27616913131564924,0.22708333333333333,0.0,0.5,1.0,
closure_comb,False,708,112,0.2404524818401937,0.2137129130528976,0.2662630241171233,0.21354166666666669,-0.005954440745224643,0.47446555108685246,0.08323428128083515,0.34327938586471196
dfs_und,False,708,112,0.24021023899201868,0.21109080782764994,0.26819677046935614,0.21666666666666667,-0.0061966835933996945,0.4791546969261707,0.06430516279364787,0.34327938586471196
louvain,False,708,112,0.23337869081248316,0.20841477871590774,0.2592191140397369,0.15104166666666666,-0.013028231772935163,0.4143924159724217,0.15607627730513696,0.39871287442610176
bfs_fwd,False,708,112,0.22858049446238005,0.20627739416697702,0.25064070052622717,0.225,-0.017826428123038297,0.4653366290018832,0.029355383074975337,0.2348430645998027
closure_fwd_trim,False,708,112,0.22858049446238005,0.20627739416697702,0.25064070052622717,0.225,-0.017826428123038297,0.4653366290018832,0.029355383074975337,0.2348430645998027
bfs_rev,False,708,112,0.2193278489597345,0.19828244687032123,0.24075695551316442,0.20625,-0.0270790736256838,0.44547882951897605,0.00012258641219389116,0.0018387961829083675
same_dir,True,708,112,0.21206464106358172,0.18697864835682573,0.23828518662881085,0.11458333333333333,-0.03434228152183661,0.37561943407066933,3.6578376574691547e-06,5.8525402519506475e-05
closure_fwd,False,708,112,0.1884164676934804,0.16853594163705654,0.2091196439737218,0.175,-0.05799045489193794,0.3935082112419803,3.0408471954499117e-19,6.0816943908998236e-18
topo_fwd,False,708,112,0.17875624943951218,0.15883736284834346,0.1997375557854831,0.1625,-0.0676506731459062,0.3750538638322321,4.057545039476598e-30,9.332353590796175e-29
closure_rev,False,708,112,0.17666683481302126,0.15674543676365515,0.19652226211341509,0.16145833333333331,-0.0697400877723971,0.36874381563407704,4.9211108480497276e-29,1.0334332780904428e-27
seed_alone,True,708,112,0.0,0.0,0.0,0.0,-0.24640692258541833,0.006355932203389831,4.1406324670763044e-116,1.3664087141351804e-114
