method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
repograph_k2,False,1156,112,0.33079503995690906,0.3023011637396128,0.357881873589145,0.3135416666666667,0.08375265840991696,0.6209935225871338,4.283482292177491e-73,7.710268125919484e-72
cosil_bfs,False,1156,112,0.3206809256544498,0.29308443082907254,0.3477682462375535,0.30395833333333333,0.07363854410745764,0.5994053890638282,8.014033426073766e-49,1.2021050139110647e-47
betweenness,False,1156,112,0.3194053522042379,0.2931387819574895,0.34529478020141663,0.3055555555555555,0.07236297065724577,0.6057159277307503,1.129613337811422e-38,1.4684973391548487e-37
topo_fwd,False,1156,112,0.304597732381918,0.2802401508088324,0.33094837791212206,0.2721875,0.0575553508349259,0.5543119395122186,7.748860673685816e-14,3.874430336842908e-13
repograph_k1,False,1156,112,0.3023898264112102,0.2766575893830369,0.3261476508587956,0.275625,0.055347444864218075,0.5717779809868178,2.8830816986802534e-32,3.1713898685482787e-31
closure_fwd,False,1156,112,0.28874617715903095,0.2623291296190993,0.31500163006252135,0.26197916666666665,0.04170379561203882,0.5444248302822045,1.0472811450342084e-14,6.28368687020525e-14
closure_comb,False,1156,112,0.28043876925508066,0.25327204462593667,0.30615792624933413,0.2598958333333333,0.03339638770808854,0.5395289807353839,7.569002280979295e-19,6.055201824783436e-18
khop2_und,False,1156,112,0.27247170895218836,0.24580534641733903,0.29794530274749065,0.259375,0.02542932740519621,0.5357922708061446,4.682461005880213e-20,4.2142149052921916e-19
whole_repo,True,1156,112,0.26530049538348366,0.2368677358305991,0.2947131091156169,0.25,0.01825811383649152,0.5139564450856671,0.15527588348436233,0.31055176696872466
labelprop,False,1156,112,0.2593838823448496,0.23471159774759306,0.28498633169687165,0.225,0.012341500797857476,0.49833799284012403,0.001863050979144731,0.007452203916578924
dfs_und,False,1156,112,0.2501755271955912,0.22322543760460403,0.27636357698028086,0.2236111111111111,0.0031331456485991,0.4934256803678117,0.19847616110386723,0.31055176696872466
random,True,1156,112,0.24704238154699215,0.2193491701134897,0.2762007640451383,0.2409722222222222,0.0,0.5,1.0,
louvain,False,1156,112,0.22859871652249725,0.20758196997716752,0.24947058646567968,0.15229166666666666,-0.0184436650244949,0.4193320392476144,0.009220430383256227,0.02766129114976868
same_dir,True,1156,112,0.20095873756335283,0.17905804406107548,0.22290151783696963,0.11145833333333334,-0.04608364398363928,0.36483713676799845,4.116278681265758e-15,2.881395076886031e-14
bfs_rev,False,1156,112,0.15276160238443223,0.13294185133430633,0.17343816899882944,0.10458333333333335,-0.0942807791625599,0.31043614779516526,1.589408027068769e-48,2.225171237896276e-47
closure_rev,False,1156,112,0.12462916800456174,0.10550112368729822,0.14340011859714852,0.07760416666666667,-0.12241321354243036,0.2641977766070808,9.647442155378085e-94,2.1224372741831786e-92
seed_alone,True,1156,112,0.0,0.0,0.0,0.0,-0.24704238154699215,0.012110726643598616,4.38502917626584e-186,1.447059628167727e-184
