method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
repograph_k1,False,1162,112,0.29975522677303823,0.27464548752464363,0.32415918150802264,0.275,0.05253618939985693,0.5673389402211748,5.432402372478726e-30,5.975642609726599e-29
topo_fwd,False,1162,112,0.29863322663042313,0.2751807242596475,0.3251601952262514,0.2651041666666667,0.051414189257241845,0.5473277422451054,3.3282213858353184e-11,1.6641106929176592e-10
closure_fwd,False,1162,112,0.2835541162668713,0.25744998484839954,0.3086122478651937,0.25416666666666665,0.03633507889368999,0.5373065905125296,8.069847952494998e-12,4.841908771496999e-11
closure_comb,False,1162,112,0.2787706316854746,0.2516569345468326,0.3047383623279458,0.25729166666666664,0.031551594312293325,0.5360997715968373,3.905854793081058e-18,3.124683834464846e-17
khop2_und,False,1162,112,0.27235505823409506,0.24505554598712773,0.298115115822187,0.25458333333333333,0.025136020860913714,0.5354950660769462,3.881695733506372e-21,3.493526160155735e-20
whole_repo,True,1162,112,0.26585458195101225,0.23726941055801354,0.2949237714237588,0.25,0.018635544577830905,0.5157219732137303,0.0864301429583746,0.16256955416546723
labelprop,False,1162,112,0.2587085355214345,0.23411713862806038,0.28404570308185634,0.225,0.011489498148253181,0.49684464437538695,0.0017029220030569836,0.006811688012227935
dfs_und,False,1162,112,0.24856967594715568,0.22190382783014004,0.2744795629942167,0.21875,0.001350638573974331,0.4900947532445987,0.08128477708273361,0.16256955416546723
random,True,1162,112,0.24721903737318132,0.2196230431827666,0.27635702095360337,0.2375,0.0,0.5,1.0,
louvain,False,1162,112,0.22855973223935186,0.2072810525164253,0.24922054977553024,0.15104166666666663,-0.018659305133829508,0.41931273162480265,0.00622839787333921,0.01868519362001763
same_dir,True,1162,112,0.20063885997150968,0.17911549356401385,0.22175510067822632,0.1125,-0.04658017740167163,0.3639442204520072,2.389115994975389e-15,1.6723811964827723e-14
bfs_rev,False,1162,112,0.1567126171397254,0.13702467761429263,0.17699470634034858,0.11333333333333334,-0.09050642023345595,0.3179232790517862,2.278632663082696e-47,3.4179489946240443e-46
closure_rev,False,1162,112,0.1275564058730939,0.10859925536576712,0.14588943684850625,0.0875,-0.11966263150008745,0.269652003637861,3.75009197672414e-94,8.250202348793108e-93
seed_alone,True,1162,112,0.0,0.0,0.0,0.0,-0.24721903737318132,0.010327022375215147,1.0285917304223642e-187,3.394352710393802e-186
