method,is_reference,n_prs,n_repos,mean_auc,ci_lo,ci_hi,median_auc,diff_vs_random,a12_vs_random,p_vs_random,p_holm_vs_random
indegree,False,49,29,0.2859099793782006,0.2300284693136241,0.36087616023995445,0.22893346732632447,0.0985379894652116,0.6751353602665556,2.633681929789207e-06,6.320836631494097e-05
directory,False,49,29,0.28084606958958463,0.21588528215873443,0.3586158669756758,0.25295454545454543,0.0934740796765956,0.6474385672636401,1.08222019490084e-05,0.0002380884428781848
hits_auth,False,49,29,0.2727758401694124,0.21782150286036875,0.34477313812695204,0.24287280701754382,0.08540385025642341,0.6484798000832986,2.022048935387775e-05,0.000404409787077555
cosil_bfs,False,49,29,0.2646232350996292,0.2027774966159935,0.34276697319215554,0.23055555555555554,0.07725124518664014,0.617451062057476,1.4439195625984973e-05,0.00030322310814568444
bm25,False,49,29,0.25266253848541476,0.19210772532847464,0.3318218237340374,0.17261904761904762,0.06529054857242574,0.5768429820907955,0.04711360073893189,0.6124768096061146
repograph_k2,False,49,29,0.24863486048451006,0.19291130086098246,0.3198145056445496,0.2,0.06126287057152106,0.605164514785506,0.0001282704855161952,0.002180598253775318
topo_fwd,False,49,29,0.24157082254918194,0.17576763748466281,0.31975258113711214,0.1716666666666667,0.0541988326361929,0.5468554768846314,0.007341237628562425,0.10277732679987395
cochange,False,49,29,0.2396335855222475,0.18278599514454177,0.3104732923368279,0.17708333333333331,0.05226159560925848,0.5658059142024157,0.06998960780461516,0.6998960780461516
closure_fwd,False,49,29,0.2317189659387195,0.1698698661869672,0.310444371296297,0.178125,0.04434697602573045,0.54914618908788,0.005498561674396996,0.08247842511595493
closure_comb,False,49,29,0.21717631371229051,0.15878693151413695,0.2929398764149765,0.175,0.029804323799301473,0.5283215326947105,0.16087170025605424,1.0
repograph_k1,False,49,29,0.21310947519762372,0.1695677218672825,0.2685387574139352,0.19444444444444445,0.025737485284634685,0.5472719700124948,0.24690004936483234,1.0
khop1_und,False,49,29,0.2109499644118672,0.15478821916159838,0.2792704303985687,0.18482142857142858,0.02357797449887815,0.5127030403998335,0.5874124234401883,1.0
khop2_und,False,49,29,0.2105181405897463,0.15876945998572192,0.27284427500750863,0.18677785508142652,0.023146150676757255,0.5508121615993337,0.06105714267464349,0.6716285694210784
betweenness,False,49,29,0.20309316513827963,0.15968927653492052,0.26027343557368626,0.175,0.015721175225290592,0.5512286547271971,0.26951931858763467,1.0
closeness,False,49,29,0.2019887818660006,0.15272102391411946,0.26571316349951496,0.165625,0.0146167919530116,0.5268638067471887,0.24285068376930496,1.0
dfs_und,False,49,29,0.19952037038452994,0.14337796455338445,0.2717321113534281,0.15,0.012148380471540897,0.5012494793835902,0.7806086307019384,1.0
labelprop,False,49,29,0.1956809711220908,0.14371196570919345,0.26545269663688165,0.18000000000000002,0.008308981209101734,0.5056226572261557,0.5016374943152722,1.0
random,True,49,29,0.18737198991298903,0.14233562327528368,0.2474944777904452,0.175,0.0,0.5,1.0,
louvain,False,49,29,0.18009804217717934,0.12957800698645727,0.23858505881204387,0.1264100808555034,-0.007273947735809715,0.4398167430237401,0.4182041404714104,1.0
whole_repo,True,49,29,0.17153007375068915,0.1128888363936049,0.24341731013896545,0.125,-0.01584191616229989,0.4264889629321116,0.048886925236105404,0.6124768096061146
same_dir,True,49,29,0.17145352745738707,0.10937220665813688,0.24821957416328122,0.07777777777777778,-0.015918462455601978,0.368179925031237,0.2301301480627067,1.0
bfs_rev,False,49,29,0.09376846450018833,0.058018040802128704,0.14173244539828125,0.02708333333333333,-0.09360352541280072,0.24177426072469804,0.00022214350866137802,0.0035542961385820484
closure_rev,False,49,29,0.08184246165804261,0.04993807800232443,0.12085203443090976,0.04901315789473684,-0.10552952825494644,0.22407330279050397,2.8655177389277896e-06,6.590690799533916e-05
seed_alone,True,49,29,0.0,0.0,0.0,0.0,-0.18737198991298903,0.0,1.1093115717163083e-09,3.660728186663817e-08
