instance_id,repo_key,status,n_co_edited,n_new_files,n_symbol_files,names_tried,names_resolved_in_repo,jedi_errors,truncated,seconds
scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,ok,1,0,1,13,15,0,False,4.6
scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,ok,1,0,1,12,9,0,False,1.0
scikit-learn__scikit-learn-15100,scikit-learn/scikit-learn,ok,1,0,1,8,3,0,False,6.7
scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,ok,1,0,2,45,7,0,False,1.1
scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,ok,1,0,0,8,0,0,False,1.1
scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,ok,1,0,2,27,16,0,False,1.2
scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,ok,1,0,5,31,31,0,False,2.7
scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,ok,1,0,1,40,3,0,False,1.3
scikit-learn__scikit-learn-9288,scikit-learn/scikit-learn,ok,1,0,1,14,8,0,False,3.9
sphinx-doc__sphinx-10614,sphinx-doc/sphinx,ok,1,0,1,16,13,0,False,1.2
sphinx-doc__sphinx-10673,sphinx-doc/sphinx,ok,3,0,6,75,48,0,False,1.9
sphinx-doc__sphinx-11445,sphinx-doc/sphinx,ok,1,0,1,17,4,0,False,0.8
sphinx-doc__sphinx-11510,sphinx-doc/sphinx,ok,1,0,8,50,41,0,False,2.6
sphinx-doc__sphinx-7454,sphinx-doc/sphinx,ok,1,0,1,8,6,0,False,1.0
sphinx-doc__sphinx-7462,sphinx-doc/sphinx,ok,2,0,3,26,12,1,False,0.6
sphinx-doc__sphinx-7748,sphinx-doc/sphinx,ok,1,0,2,87,66,0,False,2.5
sphinx-doc__sphinx-7910,sphinx-doc/sphinx,ok,1,0,4,9,8,0,False,1.8
sphinx-doc__sphinx-8120,sphinx-doc/sphinx,ok,2,0,3,18,6,0,False,2.0
sphinx-doc__sphinx-8548,sphinx-doc/sphinx,ok,2,0,6,62,74,0,False,2.5
sphinx-doc__sphinx-8595,sphinx-doc/sphinx,ok,1,0,1,2,3,0,False,1.2
sphinx-doc__sphinx-8638,sphinx-doc/sphinx,ok,1,0,0,0,0,0,False,0.8
sphinx-doc__sphinx-8721,sphinx-doc/sphinx,ok,1,0,4,10,11,0,False,1.3
sphinx-doc__sphinx-9281,sphinx-doc/sphinx,ok,1,0,1,15,5,0,False,6.5
sphinx-doc__sphinx-9320,sphinx-doc/sphinx,ok,1,0,1,9,7,0,False,0.7
sphinx-doc__sphinx-9591,sphinx-doc/sphinx,ok,1,0,3,12,10,0,False,1.8
sphinx-doc__sphinx-9602,sphinx-doc/sphinx,ok,1,0,1,33,15,0,False,1.5
sphinx-doc__sphinx-9658,sphinx-doc/sphinx,ok,1,0,1,6,5,0,False,0.5
sphinx-doc__sphinx-9698,sphinx-doc/sphinx,ok,1,0,2,3,4,0,False,0.9
sphinx-doc__sphinx-9711,sphinx-doc/sphinx,ok,1,0,1,20,16,0,False,1.8
sympy__sympy-12096,sympy/sympy,ok,1,0,3,10,8,0,False,5.5
sympy__sympy-12419,sympy/sympy,ok,1,0,13,27,25,0,False,4.4
sympy__sympy-12481,sympy/sympy,ok,1,0,2,4,3,0,False,2.1
