source,method,budget,coverage
co_edited,rrf_ppr_issue,8000,0.5608464257340662
co_edited,rrf_ppr_issue,16000,0.7579948765342024
co_edited,rrf_ppr_issue,32000,0.8912897028065567
co_edited,rrf_ppr_issue_path,250,0.03710459328436856
co_edited,rrf_ppr_issue_path,500,0.08443422993984792
co_edited,rrf_ppr_issue_path,1000,0.1753662224167842
co_edited,rrf_ppr_issue_path,2000,0.2933409131442839
co_edited,rrf_ppr_issue_path,4000,0.45571262383060135
co_edited,rrf_ppr_issue_path,8000,0.6274556020342538
co_edited,rrf_ppr_issue_path,16000,0.7983239295037048
co_edited,rrf_ppr_issue_path,32000,0.9117965367965368
co_edited,rrf_pprpl_issue_path,250,0.06727386221768245
co_edited,rrf_pprpl_issue_path,500,0.13235971269679134
co_edited,rrf_pprpl_issue_path,1000,0.22819304603012466
co_edited,rrf_pprpl_issue_path,2000,0.357036658722052
co_edited,rrf_pprpl_issue_path,4000,0.515570431441218
co_edited,rrf_pprpl_issue_path,8000,0.6660542692846064
co_edited,rrf_pprpl_issue_path,16000,0.8204812977284888
co_edited,rrf_pprpl_issue_path,32000,0.9216802860061287
co_edited,rrf_pprpl_issue_path_k10,250,0.06452871410736578
co_edited,rrf_pprpl_issue_path_k10,500,0.13132326475023104
co_edited,rrf_pprpl_issue_path_k10,1000,0.23018487442644747
co_edited,rrf_pprpl_issue_path_k10,2000,0.3595659646221444
co_edited,rrf_pprpl_issue_path_k10,4000,0.5135015889229373
co_edited,rrf_pprpl_issue_path_k10,8000,0.6691455080500024
co_edited,rrf_pprpl_issue_path_k10,16000,0.8210430954812978
co_edited,rrf_pprpl_issue_path_k10,32000,0.9173302041279568
co_edited,rrf_pprpl_issue_path_k200,250,0.06329851484345866
co_edited,rrf_pprpl_issue_path_k200,500,0.12410075879177002
co_edited,rrf_pprpl_issue_path_k200,1000,0.22450177267592997
co_edited,rrf_pprpl_issue_path_k200,2000,0.35464361377282727
co_edited,rrf_pprpl_issue_path_k200,4000,0.5102053845031373
co_edited,rrf_pprpl_issue_path_k200,8000,0.6625889715777356
co_edited,rrf_pprpl_issue_path_k200,16000,0.8119515783841627
co_edited,rrf_pprpl_issue_path_k200,32000,0.9179775280898876
co_edited,rrf_pprpl_issue_path_rd,250,0.056903302689819545
co_edited,rrf_pprpl_issue_path_rd,500,0.11696357637368873
co_edited,rrf_pprpl_issue_path_rd,1000,0.20361621836340937
co_edited,rrf_pprpl_issue_path_rd,2000,0.3210994373915722
co_edited,rrf_pprpl_issue_path_rd,4000,0.47633660035345426
co_edited,rrf_pprpl_issue_path_rd,8000,0.638831668747399
co_edited,rrf_pprpl_issue_path_rd,16000,0.8050736092870924
co_edited,rrf_pprpl_issue_path_rd,32000,0.9158105939004816
co_edited,rrf_pprpl_issue_path_rdp,250,0.05533870000162135
co_edited,rrf_pprpl_issue_path_rdp,500,0.10926054282795855
co_edited,rrf_pprpl_issue_path_rdp,1000,0.19075465732769104
co_edited,rrf_pprpl_issue_path_rdp,2000,0.30187063248861
co_edited,rrf_pprpl_issue_path_rdp,4000,0.44635682669390536
co_edited,rrf_pprpl_issue_path_rdp,8000,0.6110730093876161
co_edited,rrf_pprpl_issue_path_rdp,16000,0.7827300560446627
co_edited,rrf_pprpl_issue_path_rdp,32000,0.9044424988245212
co_edited,rrf_pprpl_issue_path_rds,250,0.05240608330495971
co_edited,rrf_pprpl_issue_path_rds,500,0.10388455177781021
co_edited,rrf_pprpl_issue_path_rds,1000,0.1848535515670347
co_edited,rrf_pprpl_issue_path_rds,2000,0.29191615188806197
co_edited,rrf_pprpl_issue_path_rds,4000,0.4398013035653485
co_edited,rrf_pprpl_issue_path_rds,8000,0.6027074517243056
co_edited,rrf_pprpl_issue_path_rds,16000,0.7737941209851322
co_edited,rrf_pprpl_issue_path_rds,32000,0.9023290691830018
co_edited,rrf_pprpl_seedpath,250,0.044763445044343916
co_edited,rrf_pprpl_seedpath,500,0.0925673265560906
co_edited,rrf_pprpl_seedpath,1000,0.1687759078208516
co_edited,rrf_pprpl_seedpath,2000,0.2746464106014668
co_edited,rrf_pprpl_seedpath,4000,0.42084123741427115
co_edited,rrf_pprpl_seedpath,8000,0.5873284071317779
co_edited,rrf_pprpl_seedpath,16000,0.7602192335338404
co_edited,rrf_pprpl_seedpath,32000,0.8917404380887527
co_edited,same_dir,250,0.027333663007820308
co_edited,same_dir,500,0.059244059103609664
co_edited,same_dir,1000,0.10737058925261171
co_edited,same_dir,2000,0.187462708951473
co_edited,same_dir,4000,0.30351589733612205
co_edited,same_dir,8000,0.45407175013916584
co_edited,same_dir,16000,0.6313782555355589
co_edited,same_dir,32000,0.8087542763104562
symbol,bfs_und,250,0.04128433136272923
symbol,bfs_und,500,0.08267675171116386
symbol,bfs_und,1000,0.15511297611770009
symbol,bfs_und,2000,0.2626653071856228
symbol,bfs_und,4000,0.4076788912624528
symbol,bfs_und,8000,0.5770305875071938
symbol,bfs_und,16000,0.7350175149205227
symbol,bfs_und,32000,0.8605003317475364
symbol,bm25_issue,250,0.017841378328349707
symbol,bm25_issue,500,0.044930941193222274
symbol,bm25_issue,1000,0.1117228125237523
symbol,bm25_issue,2000,0.20218741816349678
symbol,bm25_issue,4000,0.3428998513470961
symbol,bm25_issue,8000,0.4937280790156007
symbol,bm25_issue,16000,0.6624703406543119
symbol,bm25_issue,32000,0.8270702351521886
symbol,bm25_issue_pl,250,0.0549664461115073
symbol,bm25_issue_pl,500,0.09168409862369206
symbol,bm25_issue_pl,1000,0.144688374000885
symbol,bm25_issue_pl,2000,0.2216074379535193
symbol,bm25_issue_pl,4000,0.34046188509527453
symbol,bm25_issue_pl,8000,0.4865137164098141
symbol,bm25_issue_pl,16000,0.6623572297087261
symbol,bm25_issue_pl,32000,0.8226025136313599
symbol,bm25_issue_rd,250,0.017414210451374056
symbol,bm25_issue_rd,500,0.04343585362380749
symbol,bm25_issue_rd,1000,0.10920964151421221
symbol,bm25_issue_rd,2000,0.19931568502691954
symbol,bm25_issue_rd,4000,0.33917535428641793
symbol,bm25_issue_rd,8000,0.4918281433160067
symbol,bm25_issue_rd,16000,0.6600757965681829
symbol,bm25_issue_rd,32000,0.8274212925621951
symbol,bm25_issue_rdp,250,0.017650678383271293
symbol,bm25_issue_rdp,500,0.043855902036166884
symbol,bm25_issue_rdp,1000,0.10786794604607504
symbol,bm25_issue_rdp,2000,0.19558795184596126
symbol,bm25_issue_rdp,4000,0.33534592987818107
symbol,bm25_issue_rdp,8000,0.48995877532105137
symbol,bm25_issue_rdp,16000,0.6578560337973737
symbol,bm25_issue_rdp,32000,0.8257763572137143
symbol,bm25_issue_rds,250,0.01622678546001912
symbol,bm25_issue_rds,500,0.040356685177274663
symbol,bm25_issue_rds,1000,0.10250995148474858
symbol,bm25_issue_rds,2000,0.18973136005387178
symbol,bm25_issue_rds,4000,0.32890586559958623
symbol,bm25_issue_rds,8000,0.48201644355343126
symbol,bm25_issue_rds,16000,0.653859499931126
symbol,bm25_issue_rds,32000,0.8233318642630274
symbol,bm25_seed,250,0.022530054311344357
symbol,bm25_seed,500,0.05042655147311277
symbol,bm25_seed,1000,0.10478764792092429
symbol,bm25_seed,2000,0.19856554167745966
symbol,bm25_seed,4000,0.32945584779736853
symbol,bm25_seed,8000,0.4798906890656897
symbol,bm25_seed,16000,0.659732192310653
symbol,bm25_seed,32000,0.8218139711801294
symbol,hops_lines,250,0.09126121179008331
symbol,hops_lines,500,0.1476349926760762
symbol,hops_lines,1000,0.23084086495179038
symbol,hops_lines,2000,0.3359592480958413
symbol,hops_lines,4000,0.473940513116833
symbol,hops_lines,8000,0.6200219584881117
symbol,hops_lines,16000,0.7630506675635705
symbol,hops_lines,32000,0.8766964062215588
symbol,indegree,250,0.04000728768801739
symbol,indegree,500,0.07287946360803611
symbol,indegree,1000,0.13554059886446748
symbol,indegree,2000,0.22085051374319412
symbol,indegree,4000,0.3523910810911087
symbol,indegree,8000,0.5340990376263135
symbol,indegree,16000,0.7341344783614302
symbol,indegree,32000,0.8596391312720433
symbol,oracle,250,0.325044638168743
symbol,oracle,500,0.4880680327899967
symbol,oracle,1000,0.6762576948225364
symbol,oracle,2000,0.8371816874065787
symbol,oracle,4000,0.940901070023554
symbol,oracle,8000,0.9816748926389729
symbol,oracle,16000,0.9969172718211591
symbol,oracle,32000,1.0
symbol,pagerank,250,0.040418209395142325
symbol,pagerank,500,0.07961130900045894
symbol,pagerank,1000,0.15314933138324346
symbol,pagerank,2000,0.23955522097655926
symbol,pagerank,4000,0.3844070704418218
symbol,pagerank,8000,0.546665343866766
symbol,pagerank,16000,0.7225904996132652
symbol,pagerank,32000,0.8580921777104907
symbol,path_issue,250,0.05251981276116261
symbol,path_issue,500,0.09534344893165911
symbol,path_issue,1000,0.1652882267878373
symbol,path_issue,2000,0.2580585624558788
symbol,path_issue,4000,0.37995550181676024
symbol,path_issue,8000,0.5297223106803604
symbol,path_issue,16000,0.7005075120413587
symbol,path_issue,32000,0.8446978486651703
symbol,path_issue_rd,250,0.04334299238186466
symbol,path_issue_rd,500,0.0749699759951789
symbol,path_issue_rd,1000,0.13249404393491887
symbol,path_issue_rd,2000,0.2097956757258966
symbol,path_issue_rd,4000,0.32749543518539925
symbol,path_issue_rd,8000,0.48934943841689327
symbol,path_issue_rd,16000,0.6695044352879742
symbol,path_issue_rd,32000,0.8321226300894994
symbol,path_issue_rdp,250,0.040380617057250975
symbol,path_issue_rdp,500,0.0691737147311688
symbol,path_issue_rdp,1000,0.12056723954888389
symbol,path_issue_rdp,2000,0.1959926160195653
symbol,path_issue_rdp,4000,0.2978566095051006
symbol,path_issue_rdp,8000,0.44579145369971307
symbol,path_issue_rdp,16000,0.6242615638380394
symbol,path_issue_rdp,32000,0.7963367689625321
symbol,path_issue_rds,250,0.037865863944462834
symbol,path_issue_rds,500,0.06631547056579094
symbol,path_issue_rds,1000,0.11678104348311902
symbol,path_issue_rds,2000,0.1864507741144171
symbol,path_issue_rds,4000,0.29195111647934724
symbol,path_issue_rds,8000,0.4440554136278689
symbol,path_issue_rds,16000,0.6244875752175297
symbol,path_issue_rds,32000,0.7913771116377469
symbol,path_seed,250,0.03286623504887445
symbol,path_seed,500,0.06712961394061728
symbol,path_seed,1000,0.12761985305110415
symbol,path_seed,2000,0.21861879177286117
symbol,path_seed,4000,0.3501534719874042
symbol,path_seed,8000,0.5127605309139093
symbol,path_seed,16000,0.6859482402315404
symbol,path_seed,32000,0.8605953286243258
symbol,ppr_in,250,0.018260997036093147
symbol,ppr_in,500,0.0328686128290998
symbol,ppr_in,1000,0.0678766976769967
symbol,ppr_in,2000,0.13120559788116387
symbol,ppr_in,4000,0.2347453918951142
symbol,ppr_in,8000,0.3758925912722053
symbol,ppr_in,16000,0.5642082543312535
symbol,ppr_in,32000,0.7544243281067036
symbol,ppr_in_pl,250,0.03149599421303318
symbol,ppr_in_pl,500,0.053325583944411996
symbol,ppr_in_pl,1000,0.0883661664895175
symbol,ppr_in_pl,2000,0.1426920401981336
symbol,ppr_in_pl,4000,0.24635283132688715
symbol,ppr_in_pl,8000,0.3841498840534572
symbol,ppr_in_pl,16000,0.5648759101764353
symbol,ppr_in_pl,32000,0.7552448699953537
symbol,ppr_out,250,0.057092323682456106
symbol,ppr_out,500,0.09876749158573166
symbol,ppr_out,1000,0.1823796066053648
symbol,ppr_out,2000,0.29062879935872876
symbol,ppr_out,4000,0.44130957784248237
symbol,ppr_out,8000,0.6099646472023786
symbol,ppr_out,16000,0.7672858854288988
symbol,ppr_out,32000,0.8826269814921598
