source,a,b,n_pr,mean_a,mean_b,delta,a12,p,p_holm
symbol,ppr_out,rrf_pprpl_issue_path,1156,0.45813890221525977,0.47350017102079317,-0.015361268805533401,0.48012962308880397,0.13823449449948425,1.0
symbol,ppr_out,same_dir,1156,0.45813890221525977,0.3197893621182504,0.1383495400970094,0.6807427174004144,1.2842215643438148e-77,1.8364368370116552e-75
symbol,ppr_out,random,1156,0.45813890221525977,0.24847668681438403,0.20966221540087573,0.7732321811280995,2.144770876935896e-150,3.946378413562049e-148
symbol,ppr_out_pl,ppr_in,1156,0.4906277821205256,0.26891172585068185,0.22171605626984375,0.7686476305360328,5.924307881748656e-124,1.0249052635425174e-121
symbol,ppr_out_pl,ppr_in_pl,1156,0.4906277821205256,0.27672810156960187,0.21389968055092373,0.7577035266579664,6.420311967808234e-123,1.0978733464952081e-120
symbol,ppr_out_pl,hops_lines,1156,0.4906277821205256,0.47674197454971573,0.013885807570809872,0.51637200524419,0.0019181480708824995,0.05178999791382748
symbol,ppr_out_pl,pagerank,1156,0.4906277821205256,0.40982896318498596,0.08079881893553964,0.6019002705906298,1.374587064128643e-54,1.6220127356717987e-52
symbol,ppr_out_pl,bm25_issue,1156,0.4906277821205256,0.3404272250723622,0.15020055704816337,0.6828103111792244,1.958586456654864e-54,2.2719602897196422e-52
symbol,ppr_out_pl,bm25_issue_pl,1156,0.4906277821205256,0.3552965126677088,0.13533126945281682,0.6660589103339281,4.631447509921161e-81,6.761913364484895e-79
symbol,ppr_out_pl,path_issue,1156,0.4906277821205256,0.38238263552099244,0.10824514659953316,0.6329044491804456,7.2686686524643104e-37,6.832548533316451e-35
symbol,ppr_out_pl,bm25_seed,1156,0.4906277821205256,0.33602775615587943,0.15460002596464617,0.690617105278912,5.553789267712255e-62,7.108850262671686e-60
symbol,ppr_out_pl,path_seed,1156,0.4906277821205256,0.36485004396282167,0.12577773815770393,0.6569799810826019,3.6116266366928104e-63,4.695114627700654e-61
symbol,ppr_out_pl,rrf_ppr_issue,1156,0.4906277821205256,0.3904138190033678,0.1002139631171578,0.6283356131990757,6.552613539316308e-35,5.96287832077784e-33
