stratum,source,method,family,n_pr,auc,ci_lo,ci_hi,rank
all,symbol,rrf_pprpl_dense_path_rd,dense,702,0.46840611825645334,0.437474406071219,0.49742312049763193,
all,symbol,rrf_pprpl_dense_path_rdp,dense,702,0.4551735339500949,0.4226449677824763,0.4863640408946265,
all,symbol,rrf_pprpl_dense_path_rds,dense,702,0.45102972476592024,0.420035901068716,0.48139746243754006,
all,symbol,rrf_pprpl_issue_path_dense,dense,702,0.4801599578044453,0.4489850142682817,0.5092919694226987,
all,symbol,rrf_pprpl_issue_path_k10,rrf-k,702,0.46630212925341735,0.4349778298648334,0.49539009723856736,
all,symbol,rrf_pprpl_issue_path_k200,rrf-k,702,0.4656683066316491,0.4338606505494808,0.4941809790261746,
all,symbol,rrf_pprpl_issue_path_rd,redacted,702,0.4505291619435917,0.41921180428282684,0.47923065879732807,
all,symbol,rrf_pprpl_issue_path_rdp,redacted,702,0.4326080076808401,0.40077702149502636,0.4622638914330313,
all,symbol,rrf_pprpl_issue_path_rds,redacted,702,0.42893234320293305,0.3976518326863429,0.4582657551940883,
all,symbol,rrf_pprpl_seeddense_path,dense,702,0.4260100944143473,0.39422636109104897,0.45660391139328027,
all,symbol,rrf_pprpl_seedpath,fusion-control,702,0.4186166888144805,0.3878945318129833,0.4480878280666184,
all,symbol,sys_aider_repomap,?,702,0.3512826585950656,0.31824136439487727,0.3832747563906647,
all,symbol,sys_locagent_bfs,?,702,0.389611973044888,0.357469348326393,0.42084232417988404,
all,symbol,sys_repograph_k2,?,702,0.3217957667088289,0.2921059689265326,0.3519388116127695,
no_full_path,co_edited,oracle,reference,655,0.7752072731128075,0.7506468977318812,0.7972822175730357,1.0
no_full_path,co_edited,rrf_pprpl_issue_path,fusion,655,0.4682678016074963,0.43492290698352837,0.5004457436256374,2.0
no_full_path,co_edited,rrf_hops_issue_path,fusion,655,0.4631837665091481,0.42858147420370224,0.4957459988594203,3.0
no_full_path,co_edited,rrf_hops_path,fusion,655,0.4410003180661577,0.4056985547729734,0.47564253276495294,4.0
no_full_path,co_edited,rrf_ppr_issue_path,fusion,655,0.4301125095924715,0.39784137755453347,0.4616409439172776,5.0
no_full_path,co_edited,path_issue,lexical,655,0.40779153540126817,0.37529462928599316,0.4401921019258864,6.0
no_full_path,co_edited,bm25_issue,lexical,655,0.3969402792923785,0.36741076385088367,0.4256524136523199,7.0
no_full_path,co_edited,bm25_seed,lexical,655,0.3906918696231674,0.3588122923955788,0.4203090724060027,8.0
no_full_path,co_edited,hops_lines,structure,655,0.3898475554343875,0.3536670189717839,0.4250550821571598,9.0
no_full_path,co_edited,rrf_ppr_issue,fusion,655,0.3890112938729351,0.3581538057366584,0.41927248503040887,10.0
no_full_path,co_edited,ppr_und_pl,structure,655,0.37411350418029804,0.3405163601586785,0.407194889263797,11.0
no_full_path,co_edited,path_seed,lexical,655,0.37137316228442185,0.3378449368468655,0.40460418549682303,12.0
no_full_path,co_edited,bfs_und,structure,655,0.3629654620542025,0.3282710479720055,0.3962397460177604,13.0
no_full_path,co_edited,ppr_und,structure,655,0.3580900127226463,0.32434023981582855,0.39026649812686776,14.0
no_full_path,co_edited,bm25_issue_pl,lexical,655,0.3504006118987035,0.31560796436670585,0.3877416481362882,15.0
no_full_path,co_edited,same_dir,reference,655,0.32730923603538103,0.29510606284734925,0.3579625676362986,16.0
no_full_path,co_edited,ppr_out_pl,structure,655,0.3253580768609394,0.29360991089477345,0.35617040746507744,17.0
no_full_path,co_edited,ppr_out,structure,655,0.31261950199927296,0.28066221495818344,0.344430035419081,18.0
no_full_path,co_edited,ppr_in_pl,structure,655,0.31244812492427,0.2809629585570362,0.3437169531422678,19.0
no_full_path,co_edited,ppr_in,structure,655,0.309523203683509,0.27790655604269754,0.3414189550809972,20.0
no_full_path,co_edited,pagerank,global,655,0.2741767640050083,0.24276865911455803,0.30692273853443286,21.0
no_full_path,co_edited,indegree,global,655,0.27065950765378244,0.2409794757616039,0.3006449942677235,22.0
no_full_path,co_edited,random,reference,655,0.2524760693081304,0.22315667245765933,0.2809222351147817,23.0
no_full_path,co_edited,bm25_issue_rd,redacted,655,0.395069520174482,0.36565414287037934,0.42424893325092283,
no_full_path,co_edited,bm25_issue_rdp,redacted,655,0.3932142857142857,0.3634132707902197,0.42257521010604887,
no_full_path,co_edited,bm25_issue_rds,redacted,655,0.38695504664970315,0.3568683157975151,0.4166398077001823,
no_full_path,co_edited,dense_issue,dense,655,0.4590161910820308,0.42233136229378615,0.49278838174762657,
no_full_path,co_edited,dense_issue_rd,dense,655,0.4523767872288864,0.4163521896923112,0.4857952880507436,
no_full_path,co_edited,dense_issue_rdp,dense,655,0.45233574154852785,0.41585530073658084,0.48515564464955013,
no_full_path,co_edited,dense_issue_rds,dense,655,0.44718458439355385,0.4113528025382585,0.47989580544697147,
no_full_path,co_edited,dense_seed,dense,655,0.3956652126499455,0.35834670200281504,0.43030807547770006,
no_full_path,co_edited,path_issue_rd,redacted,655,0.37889388707136795,0.34636909885058076,0.4106233330211232,
no_full_path,co_edited,path_issue_rdp,redacted,655,0.35631113938365844,0.32317395856580694,0.38845637667307925,
no_full_path,co_edited,path_issue_rds,redacted,655,0.3510071085261925,0.317806780658675,0.3826064954489882,
no_full_path,co_edited,rrf_hops_path_rd,redacted,655,0.4215668544771598,0.3862433509952121,0.4564988715148148,
no_full_path,co_edited,rrf_hops_path_rdp,redacted,655,0.40678929884082554,0.37073498271727917,0.4414965219192352,
no_full_path,co_edited,rrf_hops_path_rds,redacted,655,0.4041560139747162,0.36862916245560867,0.43872442969843634,
no_full_path,co_edited,rrf_hops_pathseed,fusion-control,655,0.4026885425501837,0.36775817610157385,0.43539914589611606,
no_full_path,co_edited,rrf_pprpl_dense,dense,655,0.4660702168908275,0.4318329898418172,0.4999540611262471,
no_full_path,co_edited,rrf_pprpl_dense_path,dense,655,0.4875206743002545,0.4539688825403231,0.5204609655306737,
no_full_path,co_edited,rrf_pprpl_dense_path_rd,dense,655,0.4682000989539158,0.43502396344265176,0.5012561001410016,
no_full_path,co_edited,rrf_pprpl_dense_path_rdp,dense,655,0.4552558665535765,0.42102950224993224,0.48924625569802743,
no_full_path,co_edited,rrf_pprpl_dense_path_rds,dense,655,0.4524179591259744,0.4186452503982492,0.48632965788574406,
no_full_path,co_edited,rrf_pprpl_issue_path_dense,dense,655,0.4974781392624904,0.4643915113248972,0.5290934402865117,
no_full_path,co_edited,rrf_pprpl_issue_path_k10,rrf-k,655,0.4671700694696878,0.4350571609483079,0.4986396229336082,
no_full_path,co_edited,rrf_pprpl_issue_path_k200,rrf-k,655,0.4644862221818329,0.43063238035371215,0.49765104581231095,
no_full_path,co_edited,rrf_pprpl_issue_path_rd,redacted,655,0.4503445464275617,0.4161343665475228,0.4838416549033391,
no_full_path,co_edited,rrf_pprpl_issue_path_rdp,redacted,655,0.4355618411486732,0.4014824742861008,0.46817917838890594,
no_full_path,co_edited,rrf_pprpl_issue_path_rds,redacted,655,0.430658043539723,0.3970267518447555,0.46340852230501584,
no_full_path,co_edited,rrf_pprpl_seeddense_path,dense,655,0.41801551960903105,0.3833271420538553,0.45242996630758736,
no_full_path,co_edited,rrf_pprpl_seedpath,fusion-control,655,0.4189040348964013,0.386582175003965,0.45107314036495716,
no_full_path,co_edited,sys_aider_repomap,?,655,0.3034797194959409,0.27184593069722945,0.33589005043782355,
no_full_path,co_edited,sys_locagent_bfs,?,655,0.36968281735934405,0.3361946788029759,0.4022617614351407,
no_full_path,co_edited,sys_repograph_k2,?,655,0.31108147542307846,0.2808889500095709,0.3416448608417209,
no_full_path,symbol,oracle,reference,655,0.781305381709435,0.7581999408107515,0.8027588992932488,1.0
no_full_path,symbol,rrf_pprpl_issue_path,fusion,655,0.45617373616154727,0.42256915086295727,0.485616541967624,2.0
no_full_path,symbol,rrf_hops_path,fusion,655,0.44495367678042674,0.41368834389775294,0.474704742914033,3.0
no_full_path,symbol,rrf_hops_issue_path,fusion,655,0.4414237301386878,0.40748278205519606,0.47151987693036157,4.0
no_full_path,symbol,ppr_und_pl,structure,655,0.4397839777171537,0.40898383700737984,0.4702606440137594,5.0
no_full_path,symbol,hops_lines,structure,655,0.42737363862454336,0.3955685211343495,0.4591075117333745,6.0
no_full_path,symbol,ppr_out_pl,structure,655,0.41917288877401304,0.3911066178278622,0.44772452950203484,7.0
no_full_path,symbol,rrf_ppr_issue_path,fusion,655,0.4087849387907067,0.3763016040466538,0.4378505508065621,8.0
no_full_path,symbol,ppr_und,structure,655,0.39613205063680584,0.36623922777986745,0.42672942147770837,9.0
no_full_path,symbol,ppr_out,structure,655,0.39059099400118574,0.3604114510788761,0.4218586751814272,10.0
no_full_path,symbol,path_issue,lexical,655,0.383023513796133,0.34950533426116365,0.41507567591876277,11.0
no_full_path,symbol,bfs_und,structure,655,0.3807799713974107,0.34805785560402963,0.41250762435634686,12.0
no_full_path,symbol,rrf_ppr_issue,fusion,655,0.37918000960246123,0.3487644744212506,0.40890160893039357,13.0
no_full_path,symbol,path_seed,lexical,655,0.36685305407474017,0.33416441812980674,0.39710953921710906,14.0
no_full_path,symbol,bm25_issue,lexical,655,0.35678129397680514,0.3249200061054959,0.38601234438490767,15.0
no_full_path,symbol,pagerank,global,655,0.3562478818483587,0.327135633302191,0.38735563204841494,16.0
no_full_path,symbol,bm25_issue_pl,lexical,655,0.35260441009798293,0.3194579502839763,0.38772036973942875,17.0
no_full_path,symbol,bm25_seed,lexical,655,0.3496704834884481,0.31846105484834153,0.37923013037854375,18.0
no_full_path,symbol,indegree,global,655,0.34465260603978554,0.31638870901403565,0.37380544685411987,19.0
no_full_path,symbol,same_dir,reference,655,0.320059902036933,0.2887864854114116,0.3502048884866146,20.0
no_full_path,symbol,ppr_in_pl,structure,655,0.2936179307568515,0.2615136254642743,0.324847939978142,21.0
no_full_path,symbol,ppr_in,structure,655,0.2839171443712249,0.2526778242281789,0.3155294024725438,22.0
no_full_path,symbol,random,reference,655,0.25496170744905294,0.22505425634835763,0.28401515304106184,23.0
no_full_path,symbol,bm25_issue_rd,redacted,655,0.35550202896162586,0.32329035637416825,0.38466078679003834,
no_full_path,symbol,bm25_issue_rdp,redacted,655,0.35415761597956974,0.3219323032778683,0.3836752009118655,
no_full_path,symbol,bm25_issue_rds,redacted,655,0.34939475765300737,0.31818940691209385,0.3790685657215247,
no_full_path,symbol,dense_issue,dense,655,0.41046282593957367,0.37232222383182934,0.4459631742510736,
no_full_path,symbol,dense_issue_rd,dense,655,0.40427455406143903,0.3670022772002722,0.43905114570050496,
no_full_path,symbol,dense_issue_rdp,dense,655,0.4067986153065052,0.36991565581139163,0.441315073421446,
no_full_path,symbol,dense_issue_rds,dense,655,0.4014726131401268,0.365220297992776,0.43571726256362775,
no_full_path,symbol,dense_seed,dense,655,0.36314677044735333,0.32693862042561567,0.39655432244130845,
no_full_path,symbol,path_issue_rd,redacted,655,0.3565370896971275,0.32345766400929155,0.3879795441805734,
no_full_path,symbol,path_issue_rdp,redacted,655,0.3363702642613606,0.3032308138993166,0.36814491157226065,
no_full_path,symbol,path_issue_rds,redacted,655,0.3325090747487468,0.29991162206491956,0.3636394820892525,
no_full_path,symbol,rrf_hops_path_rd,redacted,655,0.42778200782094045,0.395668550376995,0.4581532893660304,
no_full_path,symbol,rrf_hops_path_rdp,redacted,655,0.41334349396911785,0.3797608546910692,0.4446648965678231,
no_full_path,symbol,rrf_hops_path_rds,redacted,655,0.41131866558225644,0.37859848649107614,0.4423816803018684,
no_full_path,symbol,rrf_hops_pathseed,fusion-control,655,0.4207672217577399,0.39017726972397243,0.44990747063871,
no_full_path,symbol,rrf_pprpl_dense,dense,655,0.4701670991922198,0.4377873571685794,0.499819099376363,
no_full_path,symbol,rrf_pprpl_dense_path,dense,655,0.4745306188285558,0.44245385638298185,0.503922054874564,
no_full_path,symbol,rrf_pprpl_dense_path_rd,dense,655,0.45846794993882745,0.42613360374217996,0.4884823384941783,
no_full_path,symbol,rrf_pprpl_dense_path_rdp,dense,655,0.4473747497635061,0.41409895516562867,0.4790425536828522,
no_full_path,symbol,rrf_pprpl_dense_path_rds,dense,655,0.4445082548678237,0.4113584287255853,0.47498094791426104,
no_full_path,symbol,rrf_pprpl_issue_path_dense,dense,655,0.4656516024018775,0.4320915112559143,0.4962901991432322,
no_full_path,symbol,rrf_pprpl_issue_path_k10,rrf-k,655,0.450382822426846,0.4168787416322366,0.4795556854588065,
no_full_path,symbol,rrf_pprpl_issue_path_k200,rrf-k,655,0.4531092184157002,0.41976149728374473,0.48261243256877406,
no_full_path,symbol,rrf_pprpl_issue_path_rd,redacted,655,0.4406280358127726,0.406821454418667,0.47013169602943844,
no_full_path,symbol,rrf_pprpl_issue_path_rdp,redacted,655,0.4266260975071142,0.39343820144031627,0.4565544839621865,
no_full_path,symbol,rrf_pprpl_issue_path_rds,redacted,655,0.4238698392617539,0.39114821477128425,0.4534732902680401,
no_full_path,symbol,rrf_pprpl_seeddense_path,dense,655,0.42744965102367155,0.3945291732423294,0.45777931023335516,
no_full_path,symbol,rrf_pprpl_seedpath,fusion-control,655,0.42071154783153164,0.390229775681774,0.4489893817675053,
no_full_path,symbol,sys_aider_repomap,?,655,0.35172656869512364,0.3199614550917334,0.3836437170069203,
no_full_path,symbol,sys_locagent_bfs,?,655,0.3904987443690688,0.35833684401177207,0.42147644977715815,
no_full_path,symbol,sys_repograph_k2,?,655,0.322265220478024,0.2924959208216144,0.3521349903720322,
no_explicit,co_edited,oracle,reference,531,0.7750517517113562,0.7470668433643358,0.8011529723008609,1.0
no_explicit,co_edited,rrf_pprpl_issue_path,fusion,531,0.4336310457955938,0.399002017399793,0.4684082932702356,2.0
no_explicit,co_edited,rrf_hops_issue_path,fusion,531,0.43189661614802854,0.3968503468135965,0.4677361719519457,3.0
no_explicit,co_edited,rrf_hops_path,fusion,531,0.4100771355832561,0.372783107692142,0.44691816058984535,4.0
no_explicit,co_edited,rrf_ppr_issue_path,fusion,531,0.40120588960631337,0.3673170362903226,0.43558828662325966,5.0
no_explicit,co_edited,hops_lines,structure,531,0.3941788666188384,0.3573698055567705,0.4299257851547336,6.0
no_explicit,co_edited,bm25_issue,lexical,531,0.3843249297521896,0.3534383295199523,0.4143870881836121,7.0
no_explicit,co_edited,bm25_seed,lexical,531,0.38320638283562014,0.3493364396707528,0.41544315345718347,8.0
no_explicit,co_edited,rrf_ppr_issue,fusion,531,0.38284925866140557,0.34987582298089287,0.41443590737468294,9.0
no_explicit,co_edited,ppr_und_pl,structure,531,0.3784877290527008,0.34112454018644495,0.4121438958533977,10.0
no_explicit,co_edited,bfs_und,structure,531,0.3637926718082085,0.32969610991711307,0.3976850342148752,11.0
no_explicit,co_edited,path_seed,lexical,531,0.36366161106627204,0.3299458362073211,0.3971550912303304,12.0
no_explicit,co_edited,path_issue,lexical,531,0.36260079439811077,0.32758367960576446,0.39753572623593975,13.0
no_explicit,co_edited,ppr_und,structure,531,0.35819918990822947,0.3250892611767408,0.3905467672811485,14.0
no_explicit,co_edited,bm25_issue_pl,lexical,531,0.3462936806863361,0.3057830433453847,0.3840739352916958,15.0
no_explicit,co_edited,ppr_out_pl,structure,531,0.3350423541984276,0.30451121107044965,0.3662198537480409,16.0
no_explicit,co_edited,same_dir,reference,531,0.3300426157594237,0.2972196228621612,0.36108635381217147,17.0
no_explicit,co_edited,ppr_out,structure,531,0.3200070496916071,0.2894493195019716,0.34969651422317877,18.0
no_explicit,co_edited,ppr_in_pl,structure,531,0.30392901981885034,0.2710428156518847,0.3363318038491247,19.0
no_explicit,co_edited,ppr_in,structure,531,0.30237375945356165,0.2701930440086948,0.33491184768542376,20.0
no_explicit,co_edited,pagerank,global,531,0.28132286342032103,0.24789672126822368,0.3123649384557008,21.0
no_explicit,co_edited,indegree,global,531,0.27250909858607597,0.24222466438676443,0.301914648125589,22.0
no_explicit,co_edited,random,reference,531,0.25132658132305025,0.22235287245685312,0.2790007048899484,23.0
no_explicit,co_edited,bm25_issue_rd,redacted,531,0.3843249297521896,0.3534383295199523,0.4143870881836121,
no_explicit,co_edited,bm25_issue_rdp,redacted,531,0.38260535303261295,0.3511382475063611,0.41306087917824297,
no_explicit,co_edited,bm25_issue_rds,redacted,531,0.37866820613995755,0.34766095371799455,0.40875710457739267,
no_explicit,co_edited,dense_issue,dense,531,0.4322349639793142,0.3936743696786902,0.4708732426528574,
no_explicit,co_edited,dense_issue_rd,dense,531,0.43233304935282335,0.39373175005118916,0.4710252377830503,
no_explicit,co_edited,dense_issue_rdp,dense,531,0.43128540414910477,0.393049950651594,0.4698858485458924,
no_explicit,co_edited,dense_issue_rds,dense,531,0.4259309703165635,0.38821645472144,0.46392692237074035,
no_explicit,co_edited,dense_seed,dense,531,0.38524029982363317,0.34786424143596234,0.4211944832383711,
no_explicit,co_edited,path_issue_rd,redacted,531,0.3622428294921232,0.32680339801741753,0.39723404979460264,
no_explicit,co_edited,path_issue_rdp,redacted,531,0.34047198681732577,0.30405822848372277,0.378223893600174,
no_explicit,co_edited,path_issue_rds,redacted,531,0.3353608981257286,0.299689361190372,0.3719441174628426,
no_explicit,co_edited,rrf_hops_path_rd,redacted,531,0.41029426234817007,0.3724821944046742,0.4482556193686232,
no_explicit,co_edited,rrf_hops_path_rdp,redacted,531,0.39695692464054044,0.35959784705029274,0.4354385395725187,
no_explicit,co_edited,rrf_hops_path_rds,redacted,531,0.3956721619386403,0.35750021680872357,0.4338767171937379,
no_explicit,co_edited,rrf_hops_pathseed,fusion-control,531,0.40452347945874306,0.3686006132903572,0.44029568290514387,
no_explicit,co_edited,rrf_pprpl_dense,dense,531,0.4532264483006008,0.41411626665342316,0.4897113531739991,
no_explicit,co_edited,rrf_pprpl_dense_path,dense,531,0.45139044579957954,0.41444781140528975,0.4884295558094169,
no_explicit,co_edited,rrf_pprpl_dense_path_rd,dense,531,0.4504133597883598,0.4137022743069742,0.48774036824721834,
no_explicit,co_edited,rrf_pprpl_dense_path_rdp,dense,531,0.4394392568180232,0.4016523687913009,0.4775020881551793,
no_explicit,co_edited,rrf_pprpl_dense_path_rds,dense,531,0.43692173223128966,0.3994040604339766,0.4754432420824686,
