source,method,family,n_pr,auc,ci_lo,ci_hi,rank
co_edited,dense_issue_rds,dense,702,0.4592248479401257,0.42635549857316646,0.4908205449244305,
co_edited,dense_seed,dense,702,0.39765600269072493,0.36060684624267475,0.4328133138078706,
co_edited,path_issue_rd,redacted,702,0.39232158873362577,0.36196297923905774,0.4228554069929449,
co_edited,path_issue_rdp,redacted,702,0.36593858816081043,0.33415432708314224,0.39703784053286406,
co_edited,path_issue_rds,redacted,702,0.35994091428119207,0.3287577675016415,0.39189454024478027,
co_edited,rrf_hops_path_rd,redacted,702,0.4297113830099941,0.39642690124801505,0.4637990833847438,
co_edited,rrf_hops_path_rdp,redacted,702,0.4123945520357557,0.3787780327911346,0.44657050596508846,
co_edited,rrf_hops_path_rds,redacted,702,0.40977135433153944,0.37601635375954373,0.4435374209675199,
co_edited,rrf_hops_pathseed,fusion-control,702,0.40177897805212615,0.36799947748274353,0.43506546915373445,
co_edited,rrf_pprpl_dense,dense,702,0.4739545177045177,0.4410371402479848,0.5063936394643492,
co_edited,rrf_pprpl_dense_path,dense,702,0.5053572606234643,0.47454827888354484,0.53605230703218,
co_edited,rrf_pprpl_dense_path_rd,dense,702,0.48124015473552506,0.4493813844170093,0.5138161168254284,
co_edited,rrf_pprpl_dense_path_rdp,dense,702,0.4665806972519935,0.43354770073167787,0.4993158883454684,
co_edited,rrf_pprpl_dense_path_rds,dense,702,0.46225309113040597,0.4296904745950644,0.4945979050301043,
co_edited,rrf_pprpl_issue_path_dense,dense,702,0.5159832922564404,0.48507405855360736,0.5470498628275348,
co_edited,rrf_pprpl_issue_path_k10,rrf-k,702,0.4880054530517493,0.45761253612313235,0.5177795298976662,
co_edited,rrf_pprpl_issue_path_k200,rrf-k,702,0.48053581792007716,0.4491179789640919,0.5125712555434269,
co_edited,rrf_pprpl_issue_path_rd,redacted,702,0.4633374834185019,0.43107400874718527,0.4958125606057388,
co_edited,rrf_pprpl_issue_path_rdp,redacted,702,0.4454567166372722,0.4127053766488421,0.4786638985995633,
co_edited,rrf_pprpl_issue_path_rds,redacted,702,0.4394155869850314,0.40737003838886526,0.4721457478279971,
co_edited,rrf_pprpl_seeddense_path,dense,702,0.4175517276790425,0.3825316021681101,0.4517851121906311,
co_edited,rrf_pprpl_seedpath,fusion-control,702,0.4180679210193099,0.38471266298808443,0.45115996085533727,
symbol,oracle,reference,702,0.7790211680460059,0.7556285230718093,0.800852549044179,1.0
symbol,rrf_pprpl_issue_path,fusion,702,0.47021607080736594,0.4388222421294165,0.49911503864880397,2.0
symbol,rrf_hops_path,fusion,702,0.4556475929307428,0.42583653935944343,0.48463533817955645,3.0
symbol,rrf_hops_issue_path,fusion,702,0.454267406988005,0.423310126389444,0.4836243793876219,4.0
symbol,ppr_und_pl,structure,702,0.4361279357486342,0.4053305520368309,0.4670313924522664,5.0
symbol,hops_lines,structure,702,0.42453474457142387,0.39297582114104873,0.45558039218183044,6.0
symbol,rrf_ppr_issue_path,fusion,702,0.4212141364952928,0.3901876075930491,0.44961251841963745,7.0
symbol,ppr_out_pl,structure,702,0.41660348530895036,0.388380169318119,0.4445769868592429,8.0
symbol,path_issue,lexical,702,0.40422188588561886,0.37308582883586877,0.43479371021320407,9.0
symbol,ppr_und,structure,702,0.39495236537836564,0.3650211867643753,0.4249738309998576,10.0
symbol,ppr_out,structure,702,0.38726897906797386,0.35694829721557125,0.41720274165808086,11.0
symbol,rrf_ppr_issue,fusion,702,0.38395038467530396,0.3534580016792009,0.41324273299112757,12.0
symbol,bfs_und,structure,702,0.37860881908965627,0.34597125409337764,0.4097717689830987,13.0
symbol,bm25_issue,lexical,702,0.36666381133942183,0.3366325294436705,0.3943019634100412,14.0
symbol,path_seed,lexical,702,0.3652472986936961,0.3327197934723813,0.39613217224436703,15.0
symbol,bm25_issue_pl,lexical,702,0.3559164355093525,0.3244609896903672,0.3899399233866718,16.0
symbol,bm25_seed,lexical,702,0.35281852006743114,0.3224792224192183,0.38188474699287933,17.0
symbol,pagerank,global,702,0.35245205240068106,0.32249820403443974,0.3828932969564134,18.0
symbol,indegree,global,702,0.3430780790719782,0.31474379442981704,0.3713913734601687,19.0
symbol,same_dir,reference,702,0.321329118103078,0.2906251762403873,0.35109581422185676,20.0
symbol,ppr_in_pl,structure,702,0.29408417404040527,0.26304276019405676,0.32445308815042206,21.0
symbol,ppr_in,structure,702,0.2855937925198013,0.2545847456739831,0.3163364392104306,22.0
symbol,random,reference,702,0.2518261106085222,0.22237911714288786,0.2816485931999167,23.0
symbol,bm25_issue_rd,redacted,702,0.36408207479379806,0.3342631928092279,0.3914750926660055,
symbol,bm25_issue_rdp,redacted,702,0.36220700852347715,0.3319268458755274,0.3899319121698009,
symbol,bm25_issue_rds,redacted,702,0.3566775107167697,0.3264430902313587,0.38441251806289417,
symbol,dense_issue,dense,702,0.4216360617167523,0.38655447452056513,0.45554478557498,
symbol,dense_issue_rd,dense,702,0.414109634092634,0.3793750716458668,0.4479317749032698,
symbol,dense_issue_rdp,dense,702,0.4168899485595253,0.38218000316549233,0.45081280812476743,
symbol,dense_issue_rds,dense,702,0.4104554749676315,0.3764166416787065,0.44366832189410715,
symbol,dense_seed,dense,702,0.3641756515648172,0.3293456142640494,0.39751777074979816,
symbol,path_issue_rd,redacted,702,0.36691760481272856,0.3355195134004673,0.3966443391482982,
symbol,path_issue_rdp,redacted,702,0.34239140937817536,0.31115149776941786,0.37296918190082723,
symbol,path_issue_rds,redacted,702,0.3376812407942302,0.30658247110960446,0.36732532561783554,
symbol,rrf_hops_path_rd,redacted,702,0.4328804025399776,0.4022971316061559,0.462097619029777,
symbol,rrf_hops_path_rdp,redacted,702,0.41632586347558787,0.3847675686429097,0.44635646211524455,
symbol,rrf_hops_path_rds,redacted,702,0.41411028934903565,0.38345471123299846,0.4446994628386881,
symbol,rrf_hops_pathseed,fusion-control,702,0.41864093747980236,0.38771687215269135,0.44850278442330455,
symbol,rrf_pprpl_dense,dense,702,0.47624370024238816,0.444355245020545,0.5058940818120748,
symbol,rrf_pprpl_dense_path,dense,702,0.48780429249215274,0.45768287536666746,0.5166478527368988,
symbol,rrf_pprpl_dense_path_rd,dense,702,0.46840611825645334,0.437474406071219,0.49742312049763193,
symbol,rrf_pprpl_dense_path_rdp,dense,702,0.4551735339500949,0.4226449677824763,0.4863640408946265,
symbol,rrf_pprpl_dense_path_rds,dense,702,0.45102972476592024,0.420035901068716,0.48139746243754006,
symbol,rrf_pprpl_issue_path_dense,dense,702,0.4801599578044453,0.4489850142682817,0.5092919694226987,
symbol,rrf_pprpl_issue_path_k10,rrf-k,702,0.46630212925341735,0.4349778298648334,0.49539009723856736,
symbol,rrf_pprpl_issue_path_k200,rrf-k,702,0.4656683066316491,0.4338606505494808,0.4941809790261746,
symbol,rrf_pprpl_issue_path_rd,redacted,702,0.4505291619435917,0.41921180428282684,0.47923065879732807,
symbol,rrf_pprpl_issue_path_rdp,redacted,702,0.4326080076808401,0.40077702149502636,0.4622638914330313,
symbol,rrf_pprpl_issue_path_rds,redacted,702,0.42893234320293305,0.3976518326863429,0.4582657551940883,
symbol,rrf_pprpl_seeddense_path,dense,702,0.4260100944143473,0.39422636109104897,0.45660391139328027,
symbol,rrf_pprpl_seedpath,fusion-control,702,0.4186166888144805,0.3878945318129833,0.4480878280666184,
