arm,group,source,method,n,auc,auc_redacted,delta,ci_lo,ci_hi,a12,p,p_holm
paths,all tasks,co_edited,rrf_hops_path,111,0.45909574290278654,0.41001519248791063,0.0490805504148758,0.03799419826999193,0.06135043696632239,0.5811216622027433,1.6153452703041151e-15,2.261483378425761e-14
paths,all tasks,co_edited,rrf_pprpl_issue_path,111,0.48836252732003393,0.4453469058478979,0.04301562147213602,0.033992785333104444,0.053005073979404335,0.5736953169385602,1.1602898480815924e-15,1.8090009438810174e-14
symbols,all tasks,co_edited,bm25_issue,111,0.41482002952985103,0.4014032511130726,0.013416778416778415,0.009907875294594044,0.017099218357030845,0.5281632984335687,3.3476708262635566e-13,4.0172049915162676e-12
symbols,all tasks,co_edited,path_issue,111,0.43307888117329263,0.3533746718245726,0.07970420934871995,0.06529355669532173,0.09529225992176552,0.6292508724941157,3.272572860779649e-17,7.199660293715228e-16
symbols,all tasks,co_edited,rrf_hops_path,111,0.45909574290278654,0.40772815003056406,0.05136759287222251,0.040034575591288556,0.06372331951498618,0.5837188539891243,1.1459035007103477e-15,1.489674550923452e-14
symbols,all tasks,co_edited,rrf_pprpl_issue_path,111,0.48836252732003393,0.4399530699538966,0.04840945736613726,0.03905941996029629,0.058376280595795325,0.5818115412710008,8.015484118795445e-16,1.2023226178193168e-14
names,all tasks,symbol,bm25_issue,111,0.37145760607044925,0.36907301513870766,0.0023845909317415106,0.0009770602463462445,0.0040426881010889515,0.5042610177745313,0.00017095637904630863,0.0017095637904630864
names,all tasks,symbol,path_issue,111,0.409805803992477,0.37125548453813567,0.03855031945434136,0.030392844276110737,0.04722539025538624,0.5607905202499798,8.433512198995416e-16,1.6867024397990832e-14
names,all tasks,symbol,rrf_hops_path,111,0.46273156806571,0.43808385533008837,0.02464771273562166,0.019024527710985374,0.030686810905574485,0.5456131807483159,5.894718649348086e-15,1.0021021703891746e-13
names,all tasks,symbol,rrf_pprpl_issue_path,111,0.47689164843432286,0.4574995160787925,0.01939213235553028,0.014162034780132901,0.025055849085568228,0.535021507994481,1.53386706834477e-12,2.147413895682678e-11
paths,all tasks,symbol,bm25_issue,111,0.37145760607044925,0.3669167766717054,0.004540829398743865,0.0023636060606298747,0.0069449823782247715,0.5082379676974271,0.0001008010880866278,0.0007056076166063945
paths,all tasks,symbol,path_issue,111,0.409805803992477,0.34196727238325203,0.067838531609225,0.05455322326014575,0.08222924287369118,0.6077834591348105,2.3370138467453447e-17,5.608833232188828e-16
paths,all tasks,symbol,rrf_hops_path,111,0.46273156806571,0.41800035311883715,0.04473121494687286,0.03490439192336271,0.056318478748979155,0.5789708627546465,8.230210855503413e-16,1.4814379539906144e-14
paths,all tasks,symbol,rrf_pprpl_issue_path,111,0.47689164843432286,0.4362581603672984,0.04063348806702441,0.03229605652920179,0.04973415398956601,0.5710981251521792,2.0996244383429128e-16,4.409211320520117e-15
symbols,all tasks,symbol,bm25_issue,111,0.37145760607044925,0.3611006403906082,0.010356965679841014,0.006877994515082186,0.01404551881485475,0.520006492979466,6.708188427149295e-10,6.7081884271492945e-09
symbols,all tasks,symbol,path_issue,111,0.409805803992477,0.3368458211829657,0.07295998280951123,0.05997084722211936,0.0881668997900126,0.6151286421556692,6.5036469653984845e-18,1.5608752716956363e-16
symbols,all tasks,symbol,rrf_hops_path,111,0.46273156806571,0.41568596257912244,0.04704560548658769,0.036755167188091624,0.058895840455841245,0.582460839217596,6.030306684301079e-16,9.955483044916099e-15
symbols,all tasks,symbol,rrf_pprpl_issue_path,111,0.47689164843432286,0.4332137806697384,0.04367786776458443,0.03507998156308427,0.053135805811439674,0.5742228715201687,8.116966902653742e-16,1.2023226178193168e-14
