half,source,method,family,n_pr,auc,ci_lo,ci_hi,rank,chosen_on_select,n_repos
confirm,co_edited,bm25_seed,lexical,382,0.39805365972741635,0.35178870142247165,0.4453061040928968,8.0,rrf_pprpl_issue_path,56
confirm,co_edited,rrf_ppr_issue,fusion,382,0.3967233770326048,0.35583757224448964,0.4395665568164591,9.0,rrf_pprpl_issue_path,56
confirm,co_edited,hops_lines,structure,382,0.3877234739881992,0.33981945775550065,0.43621580003264715,10.0,rrf_pprpl_issue_path,56
confirm,co_edited,ppr_und_pl,structure,382,0.37406247402975146,0.329796818346628,0.4197813117634695,11.0,rrf_pprpl_issue_path,56
confirm,co_edited,path_seed,lexical,382,0.37405018144546937,0.3267770148310513,0.4205600183456284,12.0,rrf_pprpl_issue_path,56
confirm,co_edited,bm25_issue_pl,lexical,382,0.3656949898196626,0.31806877794184,0.41458468808168103,13.0,rrf_pprpl_issue_path,56
confirm,co_edited,bfs_und,structure,382,0.358453099462589,0.31341432873897423,0.40638425284054813,14.0,rrf_pprpl_issue_path,56
confirm,co_edited,ppr_und,structure,382,0.3531922629435718,0.3083147831941996,0.4018090860610085,15.0,rrf_pprpl_issue_path,56
confirm,co_edited,same_dir,reference,382,0.33570441701986203,0.29103969652765654,0.38133680654445457,16.0,rrf_pprpl_issue_path,56
confirm,co_edited,ppr_out_pl,structure,382,0.32545205545859995,0.2842835438109902,0.3677947706767699,17.0,rrf_pprpl_issue_path,56
confirm,co_edited,ppr_in_pl,structure,382,0.3171455580486994,0.2761979166666666,0.3596447618179809,18.0,rrf_pprpl_issue_path,56
confirm,co_edited,ppr_in,structure,382,0.3131691234521732,0.2720687680927551,0.3565271251462657,19.0,rrf_pprpl_issue_path,56
confirm,co_edited,ppr_out,structure,382,0.3109172864899305,0.2702661657075637,0.354334009283097,20.0,rrf_pprpl_issue_path,56
confirm,co_edited,pagerank,global,382,0.2728199707748137,0.23289441513575224,0.3163138930708763,21.0,rrf_pprpl_issue_path,56
