source,method,budget,share_full
symbol,bm25_seed,4000,0.23398212226066897
symbol,bm25_seed,8000,0.3656430219146482
symbol,bm25_seed,16000,0.5419646289888504
symbol,bm25_seed,32000,0.7422433679354095
symbol,hops_lines,250,0.048875432525951557
symbol,hops_lines,500,0.0845876585928489
symbol,hops_lines,1000,0.14658304498269895
symbol,hops_lines,2000,0.23748558246828144
symbol,hops_lines,4000,0.36131776239907726
symbol,hops_lines,8000,0.5099913494809688
symbol,hops_lines,16000,0.6637302960399847
symbol,hops_lines,32000,0.8164311803152634
symbol,indegree,250,0.01787773933102653
symbol,indegree,500,0.03726931949250289
symbol,indegree,1000,0.06646482122260669
symbol,indegree,2000,0.12636966551326415
symbol,indegree,4000,0.23013264129181085
symbol,indegree,8000,0.3892733564013841
symbol,indegree,16000,0.6153917449332674
symbol,indegree,32000,0.7776672433679355
symbol,oracle,250,0.17267877739331028
symbol,oracle,500,0.30472895040369086
symbol,oracle,1000,0.5014850057670127
symbol,oracle,2000,0.714499231064975
symbol,oracle,4000,0.8793863623880925
symbol,oracle,8000,0.9594579008073819
symbol,oracle,16000,0.9924163783160324
symbol,oracle,32000,1.0
symbol,pagerank,250,0.02371683967704729
symbol,pagerank,500,0.04988465974625144
symbol,pagerank,1000,0.09119088811995386
symbol,pagerank,2000,0.15722318339100347
symbol,pagerank,4000,0.27122260668973475
symbol,pagerank,8000,0.43414071510957325
symbol,pagerank,16000,0.6238033448673587
symbol,pagerank,32000,0.7918973471741637
symbol,path_issue,250,0.02861880046136102
symbol,path_issue,500,0.055435409457900806
symbol,path_issue,1000,0.09421856978085352
symbol,path_issue,2000,0.15862168396770474
symbol,path_issue,4000,0.23246828143021916
symbol,path_issue,8000,0.3692329873125721
symbol,path_issue,16000,0.5353902345251826
symbol,path_issue,32000,0.7365772779700116
symbol,path_seed,250,0.009948096885813149
symbol,path_seed,500,0.027393310265282585
symbol,path_seed,1000,0.057309688581314876
symbol,path_seed,2000,0.10755478662053056
symbol,path_seed,4000,0.21461937716262974
symbol,path_seed,8000,0.3629325259515571
symbol,path_seed,16000,0.5371563821607074
symbol,path_seed,32000,0.7744665513264128
symbol,ppr_in,250,0.003748558246828143
symbol,ppr_in,500,0.009371395617070358
symbol,ppr_in,1000,0.021986735870818917
symbol,ppr_in,2000,0.051643598615916955
symbol,ppr_in,4000,0.11317762399077279
symbol,ppr_in,8000,0.2278258362168397
symbol,ppr_in,16000,0.41330738177623993
symbol,ppr_in,32000,0.6543540945790081
symbol,ppr_in_pl,250,0.005046136101499423
symbol,ppr_in_pl,500,0.012110726643598616
symbol,ppr_in_pl,1000,0.026744521337946945
symbol,ppr_in_pl,2000,0.05149942329873126
symbol,ppr_in_pl,4000,0.11378316032295271
symbol,ppr_in_pl,8000,0.22264994232987312
symbol,ppr_in_pl,16000,0.41123125720876585
symbol,ppr_in_pl,32000,0.6498702422145328
symbol,ppr_out,250,0.037197231833910036
symbol,ppr_out,500,0.07136678200692041
symbol,ppr_out,1000,0.12326989619377163
symbol,ppr_out,2000,0.20335928489042676
symbol,ppr_out,4000,0.32628316032295274
symbol,ppr_out,8000,0.4973760092272203
symbol,ppr_out,16000,0.6632071456033394
symbol,ppr_out,32000,0.8121467704728951
symbol,ppr_out_pl,250,0.05096597462514418
symbol,ppr_out_pl,500,0.0891724336793541
symbol,ppr_out_pl,1000,0.15256632064590542
symbol,ppr_out_pl,2000,0.22544694348327568
symbol,ppr_out_pl,4000,0.34052768166089964
symbol,ppr_out_pl,8000,0.500836216839677
symbol,ppr_out_pl,16000,0.6640485115614874
symbol,ppr_out_pl,32000,0.810878027681661
symbol,ppr_und,250,0.027104959630911186
symbol,ppr_und,500,0.05745386389850058
symbol,ppr_und,1000,0.11288927335640138
symbol,ppr_und,2000,0.20227797001153403
symbol,ppr_und,4000,0.3359717416378316
symbol,ppr_und,8000,0.5013119953863898
symbol,ppr_und,16000,0.6665585351787774
symbol,ppr_und,32000,0.8335640138408305
symbol,ppr_und_pl,250,0.05089388696655133
symbol,ppr_und_pl,500,0.08189158016147637
symbol,ppr_und_pl,1000,0.14958189158016147
symbol,ppr_und_pl,2000,0.23085351787773933
symbol,ppr_und_pl,4000,0.3496539792387543
symbol,ppr_und_pl,8000,0.50010092272203
symbol,ppr_und_pl,16000,0.6724769319492503
symbol,ppr_und_pl,32000,0.8339196462898885
symbol,random,250,0.0
symbol,random,500,0.0
symbol,random,1000,0.0028114186851211074
symbol,random,2000,0.008506343713956172
symbol,random,4000,0.033232410611303345
symbol,random,8000,0.14342560553633218
symbol,random,16000,0.30565167243367936
symbol,random,32000,0.5511822376009227
symbol,rrf_hops_issue_path,250,0.025374855824682813
symbol,rrf_hops_issue_path,500,0.0629325259515571
symbol,rrf_hops_issue_path,1000,0.1183679354094579
symbol,rrf_hops_issue_path,2000,0.20983275663206458
symbol,rrf_hops_issue_path,4000,0.3317762399077278
symbol,rrf_hops_issue_path,8000,0.4929786620530565
symbol,rrf_hops_issue_path,16000,0.6725394079200308
symbol,rrf_hops_issue_path,32000,0.8364979815455594
symbol,rrf_hops_path,250,0.038494809688581315
symbol,rrf_hops_path,500,0.07021337946943483
symbol,rrf_hops_path,1000,0.12091983852364475
symbol,rrf_hops_path,2000,0.20619953863898502
symbol,rrf_hops_path,4000,0.34599192618223756
symbol,rrf_hops_path,8000,0.5027970011534025
symbol,rrf_hops_path,16000,0.6728339374965673
symbol,rrf_hops_path,32000,0.8358924452133795
symbol,rrf_ppr_issue,250,0.01124567474048443
symbol,rrf_ppr_issue,500,0.033809111880046136
symbol,rrf_ppr_issue,1000,0.08383794694348327
symbol,rrf_ppr_issue,2000,0.15578143021914648
symbol,rrf_ppr_issue,4000,0.2907583621683968
symbol,rrf_ppr_issue,8000,0.44571799307958476
symbol,rrf_ppr_issue,16000,0.6446510957324106
symbol,rrf_ppr_issue,32000,0.8269175317185697
symbol,rrf_ppr_issue_path,250,0.01773356401384083
symbol,rrf_ppr_issue_path,500,0.047001153402537486
symbol,rrf_ppr_issue_path,1000,0.09695790080738177
symbol,rrf_ppr_issue_path,2000,0.16709919261822376
symbol,rrf_ppr_issue_path,4000,0.29495386389850053
symbol,rrf_ppr_issue_path,8000,0.44956747404844294
symbol,rrf_ppr_issue_path,16000,0.6498125720876585
symbol,rrf_ppr_issue_path,32000,0.8328863898500577
symbol,rrf_pprpl_issue_path,250,0.03143021914648213
symbol,rrf_pprpl_issue_path,500,0.07417820069204152
symbol,rrf_pprpl_issue_path,1000,0.13127162629757785
symbol,rrf_pprpl_issue_path,2000,0.2150374855824683
symbol,rrf_pprpl_issue_path,4000,0.34297866205305655
symbol,rrf_pprpl_issue_path,8000,0.49119569396386004
symbol,rrf_pprpl_issue_path,16000,0.6867983467896962
symbol,rrf_pprpl_issue_path,32000,0.8565095155709342
symbol,same_dir,250,0.007641291810841984
symbol,same_dir,500,0.015859284890426758
symbol,same_dir,1000,0.03539504036908881
symbol,same_dir,2000,0.07086216839677048
symbol,same_dir,4000,0.1356833910034602
symbol,same_dir,8000,0.24162341407151094
symbol,same_dir,16000,0.4011534025374856
symbol,same_dir,32000,0.625
