repo_key,files,import_edges,density,indeg_mean,indeg_median,indeg_max,indeg_gini,outdeg_mean,outdeg_median,outdeg_max,outdeg_gini,hub_share_top5pct,n_loops,largest_loop,largest_loop_share,share_in_loops,depth_condensed,spl_mean,spl_max,n_wcc,largest_wcc_share,isolated,isolated_share,modularity,n_clusters,clustering,single_importer_share,nesting_max,nesting_mean,unresolved_share,loc_total,loc_mean,loc_median
cloud-custodian/cloud-custodian,401.0,929.5,0.005776862738557945,2.3179551122194515,0.0,175.0,0.946427689591581,2.3179551122194515,1.0,14.0,0.6429031302665129,0.8524064171122995,3.0,23.0,0.057356608478802994,0.06733167082294264,10.0,2.965257948935661,9.0,150.0,0.6059850374064838,148.0,0.3690773067331671,0.36021638474595835,154.0,0.22835284079276885,0.09725685785536159,5.0,2.947630922693267,0.0020953384481982723,90364.0,224.86779829813548,111.0
conan-io/conan,334.0,1161.5,0.010551395325709994,3.5169367097353694,1.0,106.5,0.7194989000203365,3.5169367097353694,2.0,23.0,0.5405067397234191,0.5017406770006423,5.0,40.0,0.12066612066612067,0.2682569296375267,13.0,4.4487588865916,12.0,33.5,0.901345071051926,32.5,0.09865492894807401,0.4535266203748528,41.0,0.27764536403465156,0.4174059281059491,5.0,3.013501082251082,0.0,46773.5,141.30125818743744,96.0
dask/dask,109.5,498.0,0.042532728346517806,4.613127413127414,2.0,58.5,0.6472036741942261,4.613127413127414,4.0,31.5,0.5169255362594101,0.3814067039792824,2.0,62.0,0.5727513227513228,0.620995995995996,9.0,3.099550144152272,9.0,6.5,0.952755905511811,4.5,0.03827838827838828,0.3443222649187804,11.0,0.4339482197758261,0.27810117810117807,4.0,1.9405655655655656,0.016959266128916302,56087.5,515.775160875161,268.5
deepset-ai/haystack,167.0,474.5,0.01624161219973956,2.8,1.0,76.5,0.6967340879393468,2.8,3.0,13.0,0.4387005200042449,0.5707841749252792,4.0,9.5,0.05521472392638037,0.11981456043956043,14.0,3.5850032274106196,9.0,7.0,0.956146978021978,5.0,0.03067484662576687,0.41627547829908057,14.0,0.15596122488363792,0.5727760736196319,4.0,2.754112207699831,0.0,24207.0,144.8559179133929,113.0
django-json-api/django-rest-framework-json-api,37.0,51.0,0.038288288288288286,1.3783783783783783,1.0,12.0,0.6639433551198257,1.3783783783783783,1.0,10.0,0.6571277159512454,0.3137254901960784,1.0,6.0,0.16216216216216217,0.16216216216216217,5.0,2.195945945945946,6.0,12.0,0.6486486486486487,10.0,0.2702702702702703,0.32939999999999997,15.0,0.22525222525222524,0.2972972972972973,3.0,1.5135135135135136,0.0,6048.0,166.02702702702703,97.0
django/django,830.0,2636.0,0.0038522320328244386,3.192969097592365,1.0,152.0,0.7969433407066667,3.192969097592365,2.0,36.0,0.6007571671134577,0.5532555513737297,13.0,135.0,0.1624548736462094,0.22382671480144403,22.5,5.202817456950495,16.0,221.0,0.7346947599008474,220.0,0.2653052400991526,0.477617677420595,230.0,0.19588496138221312,0.19560957015045854,6.0,3.5506024096385542,0.0026217228464419477,124965.0,150.56024096385542,56.0
docker/docker-py,69.0,175.0,0.03729752770673487,2.5285714285714285,1.0,27.0,0.5810330912025827,2.5285714285714285,2.0,23.0,0.5156107660455487,0.4157303370786517,1.0,2.0,0.02857142857142857,0.02857142857142857,14.0,2.669189189189189,6.0,6.0,0.927536231884058,5.0,0.07142857142857142,0.4154776060245739,11.0,0.2762550653652225,0.5714285714285714,2.0,1.8405797101449275,0.0,14314.0,204.4857142857143,102.0
dpkp/kafka-python,112.0,287.0,0.023085585585585586,2.536842105263158,1.0,25.0,0.5749440019910403,2.536842105263158,1.0,13.0,0.624153823995391,0.33969465648854963,1.0,5.0,0.044642857142857144,0.05263157894736842,12.0,2.7073775573465593,7.0,9.0,0.928,8.0,0.072,0.46246767594604765,15.0,0.18067508385092867,0.42105263157894735,3.0,1.946808510638298,0.012,24697.0,217.78070175438597,84.0
dwavesystems/dimod,43.0,103.5,0.05813953488372093,2.3857142857142857,1.0,14.5,0.5405469118340406,2.3857142857142857,2.0,14.5,0.525547602762035,0.2847222222222222,1.0,26.0,0.5781431334622824,0.5781431334622824,4.0,3.771129498722553,8.0,4.0,0.9117647058823529,3.0,0.08823529411764706,0.33408163265306123,8.0,0.24811009252185726,0.46808510638297873,3.0,1.8,0.00847457627118644,8730.0,205.01470588235293,107.0
elastic/rally,52.0,176.0,0.06749622926093514,3.42,2.0,26.0,0.6198752228163993,3.42,1.0,20.0,0.6449411764705882,0.3391812865497076,0.0,0.0,0.0,0.0,10.0,1.8819277108433734,5.0,9.0,0.8461538461538461,8.0,0.15384615384615385,0.22006375457644237,13.0,0.28492479501175155,0.2786885245901639,2.0,1.56,0.0,17233.0,332.6730769230769,124.5
