instance_id,repo_key,status,n_co_edited,n_new_files,n_symbol_files,names_tried,names_resolved_in_repo,jedi_errors,truncated,seconds
canonical__charmcraft-1744,canonical/charmcraft,ok,1,0,0,0,0,0,False,0.3
canonical__charmcraft-1745,canonical/charmcraft,ok,1,0,1,26,15,0,False,1.8
canonical__charmcraft-1759,canonical/charmcraft,ok,1,0,1,3,1,0,False,0.4
canonical__charmcraft-1763,canonical/charmcraft,ok,1,0,3,62,14,0,False,0.8
canonical__charmcraft-1818,canonical/charmcraft,ok,3,0,4,71,30,0,False,1.0
canonical__charmcraft-1823,canonical/charmcraft,ok,3,0,4,71,30,0,False,0.6
canonical__charmcraft-1850,canonical/charmcraft,ok,2,0,1,81,1,0,False,0.6
canonical__charmcraft-1891,canonical/charmcraft,ok,1,0,1,2,2,0,False,0.4
canonical__charmcraft-1892,canonical/charmcraft,ok,1,0,0,0,0,0,False,0.4
canonical__charmcraft-2060,canonical/charmcraft,ok,1,0,1,11,7,0,False,0.7
canonical__charmcraft-2084,canonical/charmcraft,ok,1,0,4,41,36,0,False,1.9
canonical__charmcraft-2106,canonical/charmcraft,ok,1,0,1,5,5,0,False,0.7
canonical__charmcraft-684,canonical/charmcraft,ok,1,0,1,12,6,0,False,3.7
canonical__charmcraft-866,canonical/charmcraft,ok,1,0,1,21,16,0,False,0.4
canonical__charmcraft-869,canonical/charmcraft,ok,1,0,1,39,28,0,False,0.7
canonical__charmcraft-915,canonical/charmcraft,ok,1,0,1,8,6,0,False,1.2
canonical__charmcraft-917,canonical/charmcraft,ok,1,0,3,28,19,0,False,0.7
cloud-custodian__cloud-custodian-10255,cloud-custodian/cloud-custodian,ok,1,0,1,2,2,0,False,7.9
cloud-custodian__cloud-custodian-4846,cloud-custodian/cloud-custodian,ok,2,0,7,106,40,0,False,2.2
cloud-custodian__cloud-custodian-5472,cloud-custodian/cloud-custodian,ok,1,0,4,132,74,0,False,11.0
cloud-custodian__cloud-custodian-5526,cloud-custodian/cloud-custodian,ok,1,0,3,12,11,0,False,2.3
cloud-custodian__cloud-custodian-5531,cloud-custodian/cloud-custodian,ok,2,0,6,140,109,0,False,7.6
cloud-custodian__cloud-custodian-5532,cloud-custodian/cloud-custodian,ok,1,0,4,125,92,0,False,1.8
cloud-custodian__cloud-custodian-5595,cloud-custodian/cloud-custodian,ok,1,0,1,4,3,0,False,4.3
cloud-custodian__cloud-custodian-5616,cloud-custodian/cloud-custodian,ok,1,0,1,14,2,0,False,2.1
cloud-custodian__cloud-custodian-5640,cloud-custodian/cloud-custodian,ok,5,0,13,229,168,0,False,14.4
cloud-custodian__cloud-custodian-5645,cloud-custodian/cloud-custodian,ok,3,0,7,79,59,0,False,4.4
